Date,1,2,3,4,5,6,7,8,9,10,11,12,Actual Value
1/6/2010,68.01,86.15,84.18,80.37,74.53,81.59,82.24,80.13,73.9,74.7,77.14,74.81,74
1/5/2010,83.45,83.76,80.01,73.95,81.11,81.52,79.72,73.35,74.21,76.62,74.47,70.89,86.07
1/4/2010,81.25,79.66,73.35,80.63,80.74,79.26,72.79,73.71,76.06,74.14,70.59,60.38,83.45
1/3/2010,79.81,72.89,80.02,79.84,78.79,72.22,73.18,75.44,73.81,70.28,59.65,59.93,79.72
1/2/2010,77.62,79.36,78.66,78.27,71.71,72.59,74.73,73.48,69.97,58.9,59.24,53.65,72.85
1/1/2010,73.36,77.28,77.64,71.31,72,73.95,73.13,69.62,58.13,58.51,53.09,55.36,79.39
1/12/2009,76.72,77,70.94,71.38,73.2,72.71,69.2,57.33,57.72,52.52,54.8,58.73,77.19
1/11/2009,79.09,70.61,70.66,72.4,72.2,68.68,56.41,56.79,51.89,54.16,57.93,64.61,77.04
1/10/2009,71.55,69.96,71.15,71.6,68.2,55.43,55.85,51.24,53.52,57.13,63.78,73.8,70.46
1/9/2009,72.54,69.45,70.84,67.72,54.45,54.89,50.57,52.85,56.3,62.94,73.28,102.81,69.97
1/8/2009,64.72,69.89,67.07,53.4,53.93,49.82,52.07,55.36,62.08,72.77,102.54,117.51,69.26
1/7/2009,66.93,66.31,52.28,52.85,48.98,51.17,54.31,61.2,72.25,102.27,117.48,124.9,69.82
1/6/2009,59.65,51.12,51.37,48.05,49.98,53.16,60.28,71.73,102,117.43,125.08,141.1,66.31
1/5/2009,46.51,49.66,46.89,48.52,51.96,59.29,71.18,101.7,117.38,125.25,141.3,125.89,50.35
1/4/2009,51.06,44.76,46.13,50.57,58.24,70.56,101.4,117.27,125.41,141.46,126.08,107.99,49.64
1/3/2009,38.94,41.68,48.59,57.09,69.92,101.1,117.13,125.48,141.6,126.29,108.39,97.18,44.15
1/2/2009,38.74,44.6,55.82,69.22,100.8,116.94,125.51,141.61,126.5,108.81,97.54,99.08,41.73
1/1/2009,33.87,54.43,68.48,100.51,116.68,125.46,141.56,126.71,109.26,97.93,99.27,89.98,44.6
1/12/2008,49.62,67.81,100.26,116.31,125.29,141.45,126.91,109.76,98.37,99.49,90.17,90.97,55.21
1/11/2008,70.89,100.64,115.85,124.95,141.24,127.1,110.24,98.79,99.7,90.34,91.44,85.2,68.1
1/10/2008,120.92,115.46,124.51,140.95,127.27,110.76,99.21,99.92,90.51,91.91,85.49,86.36,100.7
1/9/2008,114.98,124.08,140.58,127.42,111.32,99.64,100.14,90.69,92.4,85.79,86.93,75.85,115.55
1/8/2008,127.95,140,127.5,111.97,100.08,100.37,90.89,92.92,86.09,87.53,76.18,70.16,124.17
1/7/2008,134.62,127.35,112.73,100.56,100.64,91.1,93.45,86.39,88.16,76.55,70.29,73.56,139.96
1/6/2008,129.07,113.46,101.09,100.97,91.31,94.03,86.71,88.83,76.95,70.43,73.69,72.33,127.35
1/5/2008,119.37,101.58,101.42,91.52,94.65,87.05,89.56,77.37,70.58,73.8,72.22,69.16,113.7
1/4/2008,104.48,101.84,91.68,95.24,87.43,90.34,77.82,70.75,74.19,72.1,68.9,71.09,101.54
1/3/2008,100.74,91.75,95.78,87.84,91.19,78.31,71,74.65,71.96,67.42,70.91,69.94,101.78
1/2/2008,89.85,95.98,88.26,92.14,78.85,71.35,74.75,71.8,67.12,70.7,69.89,67.36,91.67
1/1/2008,90.49,88.71,93.27,79.58,71.83,75.17,71.63,67.85,70.43,69.81,67.16,62.91,95.95
1/12/2007,95.1,94.53,80.48,72.46,76.05,71.44,67.57,70.11,69.71,66.89,62.65,66.79,88.6
1/11/2007,87.56,81.66,73.32,76.82,71.24,67.08,69.74,69.56,66.58,62.34,66.53,69.12,94.16
1/10/2007,83.32,74.04,77.6,71.06,66.51,69.31,69.35,66.22,61.99,66.23,68.87,66.35,81.64
1/9/2007,69.47,78.21,70.98,65.83,68.77,69.08,65.8,61.59,65.89,68.58,66.05,68.62,73.98
1/8/2007,75.57,70.68,64.99,68.1,68.73,65.3,61.16,65.49,68.25,65.71,68.41,75.29,78.2
1/7/2007,68.19,64.01,67.21,68.25,64.7,60.67,65.04,67.85,65.32,68.15,75.16,78.4,70.47
1/6/2007,64.97,65.71,67.47,63.97,60.14,64.54,67.41,64.85,67.83,74.99,78.42,76.32,64.02
1/5/2007,63.38,65.87,63.06,59.54,63.95,66.88,64.32,67.45,74.77,78.38,76.44,74.35,65.78
1/4/2007,56.73,61.79,58.85,63.26,66.27,63.69,67,74.46,78.28,76.5,74.39,75.35,65.94
1/3/2007,58.07,58.14,62.38,65.56,62.9,66.47,74.08,78.1,76.52,74.39,75.43,69.84,61.78
1/2/2007,51.13,61.05,64.62,61.9,65.83,73.61,77.85,76.46,74.34,75.47,69.8,67.28,58.17
1/1/2007,63.15,63.13,60.61,65.05,73.02,77.51,76.34,74.22,75.47,69.74,67.08,70.74,60.85
1/12/2006,55.81,58.73,64.15,72.3,77.04,76.12,74.02,75.42,69.67,66.86,70.69,64.01,62.97
1/11/2006,56.82,62.91,71.47,76.47,75.81,73.74,75.3,69.58,66.59,70.62,63.93,60.05,58.72
1/10/2006,60.46,70.26,75.68,75.4,73.37,75.08,69.47,66.28,70.53,63.81,60,61.24,62.9
1/9/2006,72.63,74.4,74.81,72.89,74.75,69.32,65.89,70.41,63.66,59.92,61.26,66.83,70.38
1/8/2006,73.08,73.93,72.29,74.25,69.09,65.42,70.24,63.47,59.8,61.27,66.94,68.94,74.56
1/7/2006,68.94,71.29,73.5,68.67,64.83,70.01,63.25,59.65,61.27,67.04,69.17,63.21,73.94
1/6/2006,69.23,71.88,67.93,64.06,69.7,63,59.48,61.25,67.11,69.4,63.31,59.01,71.42
1/5/2006,71.95,66.63,63.01,69.28,62.7,59.27,61.22,67.16,69.6,63.4,59.1,52.98,71.8
1/4/2006,60.57,61.41,68.74,62.35,59.01,61.16,67.14,69.77,63.47,59.19,53.11,52.82,66.25
1/3/2006,61.1,67.92,61.9,58.68,61,67.03,69.89,63.51,59.28,53.24,52.94,55.82,61.37
1/2/2006,68.35,61.04,58.23,60.77,66.82,69.84,63.44,59.31,53.36,53.05,56.07,49.52,67.86
1/1/2006,57.98,57.32,60.39,66.53,69.71,63.22,59.29,53.47,53.16,56.33,49.97,46.1,61.06
