Date,Oil,Adjusted Close,,Date,
7/25/2014,105.23,1978.34,,7/25/2014,1
7/24/2014,102.76,1987.98,,7/24/2014,1
7/23/2014,103.81,1987.01,,7/23/2014,1
7/22/2014,104.59,1983.53,,7/22/2014,1
7/21/2014,105.34,1973.63,,7/21/2014,1
7/18/2014,103.83,1978.22,,7/18/2014,1
7/17/2014,103.84,1958.12,,7/17/2014,1
7/16/2014,101.88,1981.57,,7/16/2014,1
7/15/2014,100.56,1973.28,,7/15/2014,1
7/14/2014,101.73,1977.1,,7/14/2014,1
7/11/2014,101.48,1967.57,,7/11/2014,1
7/10/2014,103.61,1964.68,,7/10/2014,1
7/9/2014,102.93,1972.83,,7/9/2014,1
7/8/2014,104.06,1963.71,,7/8/2014,1
7/7/2014,104.19,1977.65,,7/7/2014,1
7/3/2014,104.76,1985.44,,7/3/2014,1
7/2/2014,105.18,1974.62,,7/2/2014,1
7/1/2014,106.06,1973.32,,7/1/2014,1
6/30/2014,106.07,1960.23,,6/30/2014,1
6/27/2014,106.46,1960.96,,6/27/2014,1
6/26/2014,106.49,1957.22,,6/26/2014,1
6/25/2014,107.04,1959.53,,6/25/2014,1
6/24/2014,106.64,1949.98,,6/24/2014,1
6/23/2014,106.83,1962.61,,6/23/2014,1
6/20/2014,107.95,1962.87,,6/20/2014,1
6/19/2014,107.08,1959.48,,6/19/2014,1
6/18/2014,106.64,1956.98,,6/18/2014,1
6/17/2014,106.95,1941.99,,6/17/2014,1
6/16/2014,107.52,1937.78,,6/16/2014,1
6/13/2014,107.49,1936.16,,6/13/2014,1
6/12/2014,107.2,1930.11,,6/12/2014,1
6/11/2014,105.04,1943.89,,6/11/2014,1
6/10/2014,105.02,1950.79,,6/10/2014,1
6/9/2014,105.09,1951.27,,6/9/2014,1
6/6/2014,103.32,1949.44,,6/6/2014,1
6/5/2014,103.17,1940.46,,6/5/2014,1
6/4/2014,103.27,1927.88,,6/4/2014,1
6/3/2014,103.34,1924.24,,6/3/2014,1
6/2/2014,103.07,1924.97,,6/2/2014,1
5/30/2014,103.4,1923.57,,5/30/2014,1
5/29/2014,104.26,1920.03,,5/29/2014,1
5/28/2014,103.37,1909.78,,5/28/2014,1
5/27/2014,104.78,1911.91,,5/27/2014,1
5/23/2014,105.01,1900.53,,5/23/2014,1
5/22/2014,104.03,1892.49,,5/22/2014,1
5/21/2014,104.31,1888.03,,5/21/2014,1
5/20/2014,102.8,1872.83,,5/20/2014,1
5/19/2014,102.95,1885.08,,5/19/2014,1
5/16/2014,102.31,1877.86,,5/16/2014,1
5/15/2014,101.74,1870.85,,5/15/2014,1
5/14/2014,102.63,1888.53,,5/14/2014,1
5/13/2014,102.01,1897.45,,5/13/2014,1
5/12/2014,100.89,1896.65,,5/12/2014,1
5/9/2014,100.32,1878.48,,5/9/2014,1
5/8/2014,100.52,1875.63,,5/8/2014,1
5/7/2014,101.06,1878.21,,5/7/2014,1
5/6/2014,99.81,1867.72,,5/6/2014,1
5/5/2014,99.74,1884.66,,5/5/2014,1
5/2/2014,100.09,1881.14,,5/2/2014,1
5/1/2014,99.69,1883.68,,5/1/2014,1
4/30/2014,100.07,1883.95,,4/30/2014,1
4/29/2014,101.56,1878.33,,4/29/2014,1
4/28/2014,101.13,1869.43,,4/28/2014,1
4/25/2014,100.85,1863.4,,4/25/2014,1
4/24/2014,102.2,1878.61,,4/24/2014,1
4/23/2014,101.47,1875.39,,4/23/2014,1
4/22/2014,101.69,1879.55,,4/22/2014,1
4/21/2014,104.35,1871.89,,4/21/2014,1
4/17/2014,104.33,1864.85,,4/17/2014,1
4/16/2014,103.71,1862.31,,4/16/2014,1
4/15/2014,103.7,1842.98,,4/15/2014,1
4/14/2014,104.05,1830.61,,4/14/2014,1
4/11/2014,103.68,1815.69,,4/11/2014,1
4/10/2014,103.37,1833.08,,4/10/2014,1
4/9/2014,103.55,1872.18,,4/9/2014,1
4/8/2014,102.57,1851.96,,4/8/2014,1
4/7/2014,100.43,1845.04,,4/7/2014,1
4/4/2014,101.16,1865.09,,4/4/2014,1
4/3/2014,100.29,1888.77,,4/3/2014,1
4/2/2014,99.6,1890.9,,4/2/2014,1
4/1/2014,99.69,1885.52,,4/1/2014,1
3/31/2014,101.57,1872.34,,3/31/2014,1
3/28/2014,101.73,1857.62,,3/28/2014,1
3/27/2014,101.25,1849.04,,3/27/2014,1
3/26/2014,100.61,1852.56,,3/26/2014,1
3/25/2014,99.66,1865.62,,3/25/2014,1
3/24/2014,100.05,1857.44,,3/24/2014,1
3/21/2014,99.97,1866.52,,3/21/2014,1
3/20/2014,99.68,1872.01,,3/20/2014,1
3/19/2014,100.71,1860.77,,3/19/2014,1
3/18/2014,100.08,1872.25,,3/18/2014,1
3/17/2014,98.43,1858.83,,3/17/2014,1
3/14/2014,99.23,1841.13,,3/14/2014,1
3/13/2014,98.57,1846.34,,3/13/2014,1
3/12/2014,98.29,1868.2,,3/12/2014,1
3/11/2014,100.29,1867.63,,3/11/2014,1
3/10/2014,101.39,1877.17,,3/10/2014,1
3/7/2014,102.82,1878.04,,3/7/2014,1
3/6/2014,101.82,1877.03,,3/6/2014,1
3/5/2014,101.75,1873.81,,3/5/2014,1
3/4/2014,103.64,1873.91,,3/4/2014,1
3/3/2014,105.34,1845.73,,3/3/2014,1
2/28/2014,102.88,1859.45,,2/28/2014,1
2/27/2014,102.68,1854.29,,2/27/2014,1
2/26/2014,102.93,1845.16,,2/26/2014,1
2/25/2014,102.2,1845.12,,2/25/2014,1
2/24/2014,103.17,1847.61,,2/24/2014,1
2/21/2014,102.53,1836.25,,2/21/2014,1
2/20/2014,103.2,1839.78,,2/20/2014,1
2/19/2014,103.46,1828.75,,2/19/2014,1
2/18/2014,102.54,1840.76,,2/18/2014,1
2/14/2014,100.31,1838.63,,2/14/2014,1
2/13/2014,100.27,1829.83,,2/13/2014,1
2/12/2014,100.38,1819.26,,2/12/2014,1
2/11/2014,99.96,1819.75,,2/11/2014,1
2/10/2014,100.12,1799.84,,2/10/2014,1
2/7/2014,99.98,1797.02,,2/7/2014,1
2/6/2014,97.84,1773.43,,2/6/2014,1
2/5/2014,97.4,1751.64,,2/5/2014,1
2/4/2014,97.24,1755.2,,2/4/2014,1
2/3/2014,96.44,1741.89,,2/3/2014,1
1/31/2014,97.55,1782.59,,1/31/2014,1
1/30/2014,98.25,1794.19,,1/30/2014,1
1/29/2014,97.34,1774.2,,1/29/2014,1
1/28/2014,97.49,1792.5,,1/28/2014,1
1/27/2014,95.82,1781.56,,1/27/2014,1
1/24/2014,96.66,1790.29,,1/24/2014,1
1/23/2014,97.23,1828.46,,1/23/2014,1
1/22/2014,96.35,1844.86,,1/22/2014,1
1/21/2014,94.51,1843.8,,1/21/2014,1
1/17/2014,93.96,1838.7,,1/17/2014,1
1/16/2014,93.54,1845.89,,1/16/2014,1
1/15/2014,93.78,1848.38,,1/15/2014,1
1/14/2014,92.15,1838.88,,1/14/2014,1
1/13/2014,91.45,1819.2,,1/13/2014,1
1/10/2014,92.39,1842.37,,1/10/2014,1
1/9/2014,91.36,1838.13,,1/9/2014,1
1/8/2014,91.9,1837.49,,1/8/2014,1
1/7/2014,93.31,1837.88,,1/7/2014,1
1/6/2014,93.12,1826.77,,1/6/2014,1
1/3/2014,93.66,1831.37,,1/3/2014,1
1/2/2014,95.14,1831.98,,1/2/2014,1
12/31/2013,98.17,1848.36,,12/31/2013,1
12/30/2013,98.9,1841.07,,12/30/2013,1
12/27/2013,99.94,1841.4,,12/27/2013,1
12/26/2013,99.18,1842.02,,12/26/2013,1
12/24/2013,98.87,1833.32,,12/24/2013,1
12/23/2013,98.62,1827.99,,12/23/2013,1
12/20/2013,99.11,1818.32,,12/20/2013,1
12/19/2013,98.4,1809.6,,12/19/2013,1
12/18/2013,97.59,1810.65,,12/18/2013,1
12/17/2013,96.99,1781,,12/17/2013,1
12/16/2013,97.18,1786.54,,12/16/2013,1
12/13/2013,96.27,1775.32,,12/13/2013,1
12/12/2013,97.21,1775.5,,12/12/2013,1
12/11/2013,97.25,1782.22,,12/11/2013,1
12/10/2013,98.32,1802.62,,12/10/2013,1
12/9/2013,97.1,1808.37,,12/9/2013,1
12/6/2013,97.48,1805.09,,12/6/2013,1
12/5/2013,97.14,1785.03,,12/5/2013,1
12/4/2013,96.97,1792.81,,12/4/2013,1
12/3/2013,95.83,1795.15,,12/3/2013,1
12/2/2013,93.61,1800.9,,12/2/2013,1
11/29/2013,92.55,1805.81,,11/29/2013,1
11/27/2013,92.05,1807.23,,11/27/2013,1
11/26/2013,93.41,1802.75,,11/26/2013,1
11/25/2013,93.86,1802.48,,11/25/2013,1
11/22/2013,94.53,1804.76,,11/22/2013,1
11/21/2013,95.35,1795.85,,11/21/2013,1
11/20/2013,93.34,1781.37,,11/20/2013,1
11/19/2013,93.35,1787.87,,11/19/2013,1
11/18/2013,93.03,1791.53,,11/18/2013,1
11/15/2013,93.8,1798.18,,11/15/2013,1
11/14/2013,93.76,1790.62,,11/14/2013,1
11/13/2013,93.91,1782,,11/13/2013,1
11/12/2013,93.12,1767.69,,11/12/2013,1
11/11/2013,95.13,1771.89,,11/11/2013,1
11/8/2013,94.56,1770.61,,11/8/2013,1
11/7/2013,94.25,1747.15,,11/7/2013,1
11/6/2013,94.74,1770.49,,11/6/2013,1
11/5/2013,93.4,1762.97,,11/5/2013,1
11/4/2013,94.58,1767.93,,11/4/2013,1
11/1/2013,94.56,1761.64,,11/1/2013,1
10/31/2013,96.29,1756.54,,10/31/2013,1
10/30/2013,96.81,1763.31,,10/30/2013,1
10/29/2013,98.29,1771.95,,10/29/2013,1
10/28/2013,98.74,1762.11,,10/28/2013,1
10/25/2013,97.4,1759.77,,10/25/2013,1
10/24/2013,96.65,1752.07,,10/24/2013,1
10/23/2013,96.9,1746.38,,10/23/2013,1
10/22/2013,97.63,1754.67,,10/22/2013,1
10/21/2013,99.28,1744.66,,10/21/2013,1
10/18/2013,100.87,1744.5,,10/18/2013,1
10/17/2013,100.72,1733.15,,10/17/2013,1
10/16/2013,102.34,1721.54,,10/16/2013,1
10/15/2013,101.15,1698.06,,10/15/2013,1
10/14/2013,102.46,1710.14,,10/14/2013,1
10/11/2013,102.17,1703.2,,10/11/2013,1
10/10/2013,103.08,1692.56,,10/10/2013,1
10/9/2013,101.63,1656.4,,10/9/2013,1
10/8/2013,103.54,1655.45,,10/8/2013,1
10/7/2013,103.07,1676.12,,10/7/2013,1
10/4/2013,103.83,1690.5,,10/4/2013,1
10/3/2013,103.29,1678.66,,10/3/2013,1
10/2/2013,104.15,1693.87,,10/2/2013,1
10/1/2013,102.09,1695,,10/1/2013,1
9/30/2013,102.36,1681.55,,9/30/2013,1
9/27/2013,102.86,1691.75,,9/27/2013,1
9/26/2013,103.1,1698.67,,9/26/2013,1
9/25/2013,102.68,1692.77,,9/25/2013,1
9/24/2013,103.22,1697.42,,9/24/2013,1
9/23/2013,103.62,1701.84,,9/23/2013,1
9/20/2013,104.7,1709.91,,9/20/2013,1
9/19/2013,106.26,1722.34,,9/19/2013,1
9/18/2013,108.23,1725.52,,9/18/2013,1
9/17/2013,105.36,1704.76,,9/17/2013,1
9/16/2013,106.54,1697.6,,9/16/2013,1
9/13/2013,108.31,1687.99,,9/13/2013,1
9/12/2013,108.72,1683.42,,9/12/2013,1
9/11/2013,107.65,1689.13,,9/11/2013,1
9/10/2013,107.48,1683.99,,9/10/2013,1
9/9/2013,109.62,1671.71,,9/9/2013,1
9/6/2013,110.62,1655.17,,9/6/2013,1
9/5/2013,108.5,1655.08,,9/5/2013,1
9/4/2013,107.29,1653.08,,9/4/2013,1
9/3/2013,108.67,1639.77,,9/3/2013,1
8/30/2013,107.98,1632.97,,8/30/2013,1
8/29/2013,108.51,1638.17,,8/29/2013,1
8/28/2013,110.17,1634.96,,8/28/2013,1
8/27/2013,109.11,1630.48,,8/27/2013,1
8/26/2013,105.88,1656.78,,8/26/2013,1
8/23/2013,106.48,1663.5,,8/23/2013,1
8/22/2013,104.93,1656.96,,8/22/2013,1
8/21/2013,103.93,1642.8,,8/21/2013,1
8/20/2013,104.9,1652.35,,8/20/2013,1
8/19/2013,107.14,1646.06,,8/19/2013,1
8/16/2013,107.58,1655.83,,8/16/2013,1
8/15/2013,107.43,1661.32,,8/15/2013,1
8/14/2013,106.89,1685.39,,8/14/2013,1
8/13/2013,106.78,1694.16,,8/13/2013,1
8/12/2013,106.19,1689.47,,8/12/2013,1
8/9/2013,106.04,1691.42,,8/9/2013,1
8/8/2013,103.45,1697.48,,8/8/2013,1
8/7/2013,104.41,1690.91,,8/7/2013,1
8/6/2013,105.32,1697.37,,8/6/2013,1
8/5/2013,106.61,1707.14,,8/5/2013,1
8/2/2013,106.94,1709.67,,8/2/2013,1
8/1/2013,107.93,1706.87,,8/1/2013,1
7/31/2013,105.1,1685.73,,7/31/2013,1
7/30/2013,103.14,1685.96,,7/30/2013,1
7/29/2013,104.61,1685.33,,7/29/2013,1
7/26/2013,104.76,1691.65,,7/26/2013,1
7/25/2013,105.47,1690.25,,7/25/2013,1
7/24/2013,105.41,1685.94,,7/24/2013,1
7/23/2013,107.13,1692.39,,7/23/2013,1
7/22/2013,106.61,1695.53,,7/22/2013,1
7/19/2013,108,1692.09,,7/19/2013,1
7/18/2013,107.94,1689.37,,7/18/2013,1
7/17/2013,106.39,1680.91,,7/17/2013,1
7/16/2013,105.88,1676.26,,7/16/2013,1
7/15/2013,106.2,1682.5,,7/15/2013,1
7/12/2013,105.85,1680.19,,7/12/2013,1
7/11/2013,104.77,1675.02,,7/11/2013,1
7/10/2013,106.41,1652.62,,7/10/2013,1
7/9/2013,103.46,1652.32,,7/9/2013,1
7/8/2013,103.03,1640.46,,7/8/2013,1
7/5/2013,103.09,1631.89,,7/5/2013,1
7/3/2013,101.92,1615.41,,7/3/2013,1
7/2/2013,99.65,1614.08,,7/2/2013,1
7/1/2013,97.94,1614.96,,7/1/2013,1
6/28/2013,96.36,1606.28,,6/28/2013,1
6/27/2013,97,1613.2,,6/27/2013,1
6/26/2013,95.47,1603.26,,6/26/2013,1
6/25/2013,95.25,1588.03,,6/25/2013,1
6/24/2013,95.07,1573.09,,6/24/2013,1
6/21/2013,93.81,1592.43,,6/21/2013,1
6/20/2013,94.89,1588.19,,6/20/2013,1
6/19/2013,98.24,1628.93,,6/19/2013,1
6/18/2013,98.46,1651.81,,6/18/2013,1
6/17/2013,97.86,1639.04,,6/17/2013,1
6/14/2013,97.83,1626.73,,6/14/2013,1
6/13/2013,96.66,1636.36,,6/13/2013,1
6/12/2013,95.98,1612.52,,6/12/2013,1
6/11/2013,95.5,1626.13,,6/11/2013,1
6/10/2013,95.82,1642.81,,6/10/2013,1
6/7/2013,96.11,1643.38,,6/7/2013,1
6/6/2013,94.71,1622.56,,6/6/2013,1
6/5/2013,93.66,1608.9,,6/5/2013,1
6/4/2013,93.36,1631.38,,6/4/2013,1
6/3/2013,93.41,1640.42,,6/3/2013,1
5/31/2013,91.93,1630.74,,5/31/2013,1
5/30/2013,93.57,1654.41,,5/30/2013,1
5/29/2013,93.13,1648.36,,5/29/2013,1
5/28/2013,94.65,1660.06,,5/28/2013,1
5/24/2013,93.84,1649.6,,5/24/2013,1
5/23/2013,94.12,1650.51,,5/23/2013,1
5/22/2013,93.98,1655.35,,5/22/2013,1
5/21/2013,95.55,1669.16,,5/21/2013,1
5/20/2013,96.29,1666.29,,5/20/2013,1
5/17/2013,95.72,1667.47,,5/17/2013,1
5/16/2013,94.85,1650.47,,5/16/2013,1
5/15/2013,93.95,1658.78,,5/15/2013,1
5/14/2013,93.96,1650.34,,5/14/2013,1
5/13/2013,94.76,1633.77,,5/13/2013,1
5/10/2013,95.81,1633.7,,5/10/2013,1
5/9/2013,96.09,1626.67,,5/9/2013,1
5/8/2013,96.24,1632.69,,5/8/2013,1
5/7/2013,95.28,1625.96,,5/7/2013,1
5/6/2013,95.8,1617.5,,5/6/2013,1
5/3/2013,95.25,1614.42,,5/3/2013,1
5/2/2013,93.7,1597.59,,5/2/2013,1
5/1/2013,90.74,1582.7,,5/1/2013,1
4/30/2013,93.22,1597.57,,4/30/2013,1
4/29/2013,94.09,1593.61,,4/29/2013,1
4/26/2013,92.63,1582.24,,4/26/2013,1
4/25/2013,93.27,1585.16,,4/25/2013,1
4/24/2013,91.07,1578.79,,4/24/2013,1
4/23/2013,89.21,1578.78,,4/23/2013,1
4/22/2013,88.81,1562.5,,4/22/2013,1
4/19/2013,88.04,1555.25,,4/19/2013,1
4/18/2013,87.83,1541.61,,4/18/2013,1
4/17/2013,86.65,1552.01,,4/17/2013,1
4/16/2013,88.73,1574.57,,4/16/2013,1
4/15/2013,88.75,1552.36,,4/15/2013,1
4/12/2013,91.23,1588.85,,4/12/2013,1
4/11/2013,93.44,1593.37,,4/11/2013,1
4/10/2013,94.59,1587.73,,4/10/2013,1
4/9/2013,94.18,1568.61,,4/9/2013,1
4/8/2013,93.36,1563.07,,4/8/2013,1
4/5/2013,92.76,1553.28,,4/5/2013,1
4/4/2013,93.26,1559.98,,4/4/2013,1
4/3/2013,95.02,1553.69,,4/3/2013,1
4/2/2013,97.23,1570.25,,4/2/2013,1
4/1/2013,97.1,1562.17,,4/1/2013,1
3/28/2013,97.24,1569.19,,3/28/2013,1
3/27/2013,96.53,1562.85,,3/27/2013,1
3/26/2013,95.99,1563.77,,3/26/2013,1
3/25/2013,94.55,1551.69,,3/25/2013,1
3/22/2013,93.41,1556.89,,3/22/2013,1
3/21/2013,92.46,1545.8,,3/21/2013,1
3/20/2013,93.21,1558.71,,3/20/2013,1
3/19/2013,92.44,1548.34,,3/19/2013,1
3/18/2013,93.71,1552.1,,3/18/2013,1
3/15/2013,93.49,1560.7,,3/15/2013,1
3/14/2013,93.03,1563.23,,3/14/2013,1
3/13/2013,92.47,1554.52,,3/13/2013,1
3/12/2013,92.44,1552.48,,3/12/2013,1
3/11/2013,92.07,1556.22,,3/11/2013,1
3/8/2013,92.01,1551.18,,3/8/2013,1
3/7/2013,91.53,1544.26,,3/7/2013,1
3/6/2013,90.47,1541.46,,3/6/2013,1
3/5/2013,90.88,1539.79,,3/5/2013,1
3/4/2013,90.13,1525.2,,3/4/2013,1
3/1/2013,90.71,1518.2,,3/1/2013,1
2/28/2013,92.03,1514.68,,2/28/2013,1
2/27/2013,92.84,1515.99,,2/27/2013,1
2/26/2013,92.63,1496.94,,2/26/2013,1
2/25/2013,92.74,1487.85,,2/25/2013,1
2/22/2013,93.12,1515.6,,2/22/2013,1
2/21/2013,92.79,1502.42,,2/21/2013,1
2/20/2013,94.92,1511.95,,2/20/2013,1
2/19/2013,96.69,1530.94,,2/19/2013,1
2/15/2013,95.95,1519.79,,2/15/2013,1
2/14/2013,97.3,1521.38,,2/14/2013,1
2/13/2013,97.03,1520.33,,2/13/2013,1
2/12/2013,97.48,1519.43,,2/12/2013,1
2/11/2013,97.01,1517.01,,2/11/2013,1
2/8/2013,95.71,1517.93,,2/8/2013,1
2/7/2013,95.84,1509.39,,2/7/2013,1
2/6/2013,96.44,1512.12,,2/6/2013,1
2/5/2013,96.68,1511.29,,2/5/2013,1
2/4/2013,96.21,1495.71,,2/4/2013,1
2/1/2013,97.46,1513.17,,2/1/2013,1
1/31/2013,97.65,1498.11,,1/31/2013,1
1/30/2013,97.98,1501.96,,1/30/2013,1
1/29/2013,97.62,1507.84,,1/29/2013,1
1/28/2013,95.95,1500.18,,1/28/2013,1
1/25/2013,95.15,1502.96,,1/25/2013,1
1/24/2013,95.35,1494.82,,1/24/2013,1
1/23/2013,95.06,1494.81,,1/23/2013,1
1/22/2013,96.09,1492.56,,1/22/2013,1
1/18/2013,95.61,1485.98,,1/18/2013,1
1/17/2013,95.49,1480.94,,1/17/2013,1
1/16/2013,94.28,1472.63,,1/16/2013,1
1/15/2013,93.26,1472.34,,1/15/2013,1
1/14/2013,94.27,1470.68,,1/14/2013,1
1/11/2013,93.6,1472.05,,1/11/2013,1
1/10/2013,93.81,1472.12,,1/10/2013,1
1/9/2013,93.08,1461.02,,1/9/2013,1
1/8/2013,93.21,1457.15,,1/8/2013,1
1/7/2013,93.2,1461.89,,1/7/2013,1
1/4/2013,93.12,1466.47,,1/4/2013,1
1/3/2013,92.97,1459.37,,1/3/2013,1
1/2/2013,93.14,1462.42,,1/2/2013,1
12/31/2012,91.83,1426.19,,12/31/2012,1
12/28/2012,90.66,1402.43,,12/28/2012,1
12/27/2012,90.91,1418.1,,12/27/2012,1
12/26/2012,90.71,1419.83,,12/26/2012,1
12/24/2012,88.29,1426.66,,12/24/2012,1
12/21/2012,88.2,1430.15,,12/21/2012,1
12/20/2012,89.76,1443.69,,12/20/2012,1
12/19/2012,89.09,1435.81,,12/19/2012,1
12/18/2012,87.46,1446.79,,12/18/2012,1
12/17/2012,86.71,1430.36,,12/17/2012,1
12/14/2012,86.32,1413.58,,12/14/2012,1
12/13/2012,85.39,1419.45,,12/13/2012,1
12/12/2012,86.35,1428.48,,12/12/2012,1
12/11/2012,85.36,1427.84,,12/11/2012,1
12/10/2012,85.14,1418.55,,12/10/2012,1
12/7/2012,85.45,1418.07,,12/7/2012,1
12/6/2012,85.47,1413.94,,12/6/2012,1
12/5/2012,87.36,1409.28,,12/5/2012,1
12/4/2012,88.04,1407.05,,12/4/2012,1
12/3/2012,88.69,1409.46,,12/3/2012,1
11/30/2012,88.54,1416.18,,11/30/2012,1
11/29/2012,87.64,1415.95,,11/29/2012,1
11/28/2012,86.1,1409.93,,11/28/2012,1
11/27/2012,86.81,1398.94,,11/27/2012,1
11/26/2012,87.28,1406.29,,11/26/2012,1
11/23/2012,87.01,1409.15,,11/23/2012,1
11/21/2012,87.08,1391.03,,11/21/2012,1
11/20/2012,86.46,1387.81,,11/20/2012,1
11/19/2012,89.05,1386.89,,11/19/2012,1
11/16/2012,86.62,1359.88,,11/16/2012,1
11/15/2012,85.45,1353.33,,11/15/2012,1
11/14/2012,86.32,1355.49,,11/14/2012,1
11/13/2012,85.38,1374.53,,11/13/2012,1
11/12/2012,85.56,1380.03,,11/12/2012,1
11/9/2012,86.08,1379.85,,11/9/2012,1
11/8/2012,85.07,1377.51,,11/8/2012,1
11/7/2012,84.5,1394.53,,11/7/2012,1
11/6/2012,88.62,1428.39,,11/6/2012,1
11/5/2012,85.64,1417.26,,11/5/2012,1
11/2/2012,84.9,1414.2,,11/2/2012,1
11/1/2012,87.05,1427.59,,11/1/2012,1
10/31/2012,86.23,1412.16,,10/31/2012,1
10/30/2012,85.65,1411.94,,10/26/2012,0
10/29/2012,85.52,1412.97,,10/25/2012,0
10/26/2012,85.84,1408.75,,10/24/2012,0
10/25/2012,85.59,1413.11,,10/23/2012,0
10/24/2012,85.39,1433.82,,10/22/2012,0
10/23/2012,86.65,1433.19,,10/19/2012,0
10/22/2012,88.3,1457.34,,10/18/2012,0
10/19/2012,90,1460.91,,10/17/2012,0
10/18/2012,92,1454.92,,10/16/2012,0
10/17/2012,92.04,1440.13,,10/15/2012,0
10/16/2012,92.07,1428.59,,10/12/2012,0
10/15/2012,91.84,1432.84,,10/11/2012,0
10/12/2012,91.83,1432.56,,10/10/2012,0
10/11/2012,92.19,1441.48,,10/9/2012,0
10/10/2012,91.24,1455.88,,10/8/2012,0
10/9/2012,92.42,1460.93,,10/5/2012,0
10/8/2012,89.43,1461.4,,10/4/2012,0
10/5/2012,89.87,1450.99,,10/3/2012,0
10/4/2012,91.69,1445.75,,10/2/2012,0
10/3/2012,88.19,1444.49,,10/1/2012,0
10/2/2012,91.88,1440.67,,9/28/2012,0
10/1/2012,92.44,1447.15,,9/27/2012,0
9/28/2012,92.18,1433.32,,9/26/2012,0
9/27/2012,91.89,1441.59,,9/25/2012,0
9/26/2012,89.92,1456.89,,9/24/2012,0
9/25/2012,91.07,1460.15,,9/21/2012,0
9/24/2012,91.68,1460.26,,9/20/2012,0
9/21/2012,92.64,1461.05,,9/19/2012,0
9/20/2012,92.14,1459.32,,9/18/2012,0
9/19/2012,91.97,1461.19,,9/17/2012,0
9/18/2012,95.25,1465.77,,9/14/2012,0
9/17/2012,96.51,1459.99,,9/13/2012,0
9/14/2012,98.94,1436.56,,9/12/2012,0
9/13/2012,98.3,1433.56,,9/11/2012,0
9/12/2012,97.02,1429.08,,9/10/2012,0
9/11/2012,97.03,1437.92,,9/7/2012,0
9/10/2012,96.52,1432.12,,9/6/2012,0
9/7/2012,96.41,1403.44,,9/5/2012,0
9/6/2012,95.58,1404.94,,9/4/2012,0
9/5/2012,95.37,1406.58,,8/31/2012,0
9/4/2012,95.34,1399.48,,8/30/2012,0
8/31/2012,96.47,1410.49,,8/29/2012,0
8/30/2012,94.61,1409.3,,8/28/2012,0
8/29/2012,95.5,1410.44,,8/27/2012,0
8/28/2012,96.3,1411.13,,8/24/2012,0
8/27/2012,95.54,1402.08,,8/23/2012,0
8/24/2012,95.78,1413.49,,8/22/2012,0
8/23/2012,95.87,1413.17,,8/21/2012,0
8/22/2012,96.89,1418.13,,8/20/2012,0
8/21/2012,96.55,1418.16,,8/17/2012,0
8/20/2012,96.03,1415.51,,8/16/2012,0
8/17/2012,96,1405.53,,8/15/2012,0
8/16/2012,95.66,1403.93,,8/14/2012,0
8/15/2012,94.35,1404.11,,8/13/2012,0
8/14/2012,93.4,1405.87,,8/10/2012,0
