Date,Oil_Value
10/17/2013,103.7353867
10/16/2013,105.4047155
10/15/2013,104.2918296
10/14/2013,105.5283695
10/11/2013,105.126494
10/10/2013,106.1466394
10/9/2013,104.7040096
10/8/2013,106.6412553
10/7/2013,106.1672484
10/4/2013,107.0019128
10/3/2013,106.4557743
10/2/2013,107.2698297
10/1/2013,105.147103
9/30/2013,105.348577
9/27/2013,105.9045062
9/26/2013,106.0692259
9/25/2013,105.6883115
9/24/2013,106.1721758
9/23/2013,106.6457451
9/20/2013,107.7576034
9/19/2013,109.5283407
9/18/2013,111.2578981
9/17/2013,108.5297272
9/16/2013,109.7342404
9/13/2013,111.4020279
9/12/2013,111.8035323
9/11/2013,110.7328539
9/10/2013,110.5578392
9/9/2013,112.7506709
9/6/2013,113.7904643
9/5/2013,111.5667477
9/4/2013,110.3931194
9/3/2013,111.7417624
8/30/2013,111.1374831
8/29/2013,112.3247391
8/28/2013,113.6668545
8/27/2013,112.5415423
8/26/2013,109.3514372
8/23/2013,109.8676354
8/22/2013,108.4326043
8/21/2013,107.2143764
8/20/2013,108.3603365
8/19/2013,110.569665
8/16/2013,110.9413278
8/15/2013,110.8071162
8/14/2013,110.3115659
8/13/2013,110.290918
8/12/2013,109.5475925
8/9/2013,109.403057
8/8/2013,106.749798
8/7/2013,107.7512226
8/6/2013,108.7113513
8/5/2013,110.0121709
8/2/2013,110.4044816
8/1/2013,111.3852583
7/31/2013,108.7421719
7/30/2013,106.7232513
7/29/2013,108.2452069
7/26/2013,108.4005084
7/25/2013,109.2184301
7/24/2013,109.1148957
7/23/2013,111.0199286
7/22/2013,110.6886185
7/19/2013,111.8689106
7/18/2013,111.8585571
7/17/2013,110.2434206
7/16/2013,109.7464555
7/15/2013,110.0777656
7/12/2013,109.6946883
7/11/2013,108.6179307
7/10/2013,110.2848344
7/9/2013,107.1891561
7/8/2013,106.7853719
7/5/2013,106.8681994
7/3/2013,104.8182185
7/2/2013,103.1202544
7/1/2013,101.4533507
6/28/2013,100.1773531
6/27/2013,100.6857095
6/26/2013,99.07764309
6/25/2013,98.89089988
6/24/2013,98.74565517
6/21/2013,97.19983645
6/20/2013,98.97389686
6/19/2013,101.9202896
6/18/2013,102.127782
6/17/2013,101.4326824
6/14/2013,101.5156793
6/13/2013,100.3122231
6/12/2013,99.47187873
6/11/2013,98.95314762
6/10/2013,99.35775789
6/7/2013,99.62749807
6/6/2013,98.30992104
6/5/2013,97.25170956
6/4/2013,96.8056008
6/3/2013,96.95084551
5/31/2013,95.80199676
5/30/2013,97.51032855
5/29/2013,97.010329
5/28/2013,98.96866057
5/24/2013,98.07282804
5/23/2013,98.17699462
5/22/2013,98.20824459
5/21/2013,100.1665762
5/20/2013,100.7394923
5/17/2013,100.020743
5/16/2013,99.12491043
5/15/2013,98.2290779
5/14/2013,98.13532799
5/13/2013,99.13532708
5/10/2013,100.0415763
5/9/2013,100.4061593
5/8/2013,100.6457424
5/7/2013,99.60407666
5/6/2013,100.1665762
5/3/2013,99.59366
5/2/2013,97.90616153
5/1/2013,94.82283098
4/30/2013,97.68823759
4/29/2013,98.77528838
4/26/2013,97.20742666
4/25/2013,97.876381
4/24/2013,95.56639806
4/23/2013,93.21460548
4/22/2013,92.7756042
4/19/2013,91.99167334
4/18/2013,91.69900582
4/17/2013,90.60150261
4/16/2013,92.73379455
4/15/2013,92.72334214
4/12/2013,95.4200643
4/11/2013,97.74049965
4/10/2013,98.92162214
4/9/2013,98.46171604
4/8/2013,97.58371348
4/5/2013,96.89385432
4/4/2013,97.47918936
4/3/2013,98.72302633
4/2/2013,101.5869871
4/1/2013,101.4615581
3/28/2013,101.6910302
3/27/2013,101.0112074
3/26/2013,100.7601959
3/25/2013,99.15999765
3/22/2013,98.00952831
3/21/2013,96.69171799
3/20/2013,97.22511741
3/19/2013,96.38841244
3/18/2013,98.04090475
3/15/2013,97.7375992
3/14/2013,97.29832909
3/13/2013,96.76492967
3/12/2013,96.7858473
3/11/2013,96.28382432
3/8/2013,96.16877738
3/7/2013,95.76088371
3/6/2013,94.57903794
3/5/2013,94.98693161
3/4/2013,94.25481477
3/1/2013,94.84050824
2/28/2013,96.68411664
2/27/2013,97.42986051
2/26/2013,97.29331586
2/25/2013,97.79748072
2/22/2013,97.81848759
2/21/2013,97.51388799
2/20/2013,99.21544441
2/19/2013,101.5262001
2/15/2013,100.6859253
2/14/2013,102.2089233
2/13/2013,101.8938203
2/12/2013,102.418992
2/11/2013,101.9148271
2/8/2013,100.5388772
2/7/2013,100.654415
2/6/2013,101.4841863
2/5/2013,101.5051932
2/4/2013,101.0115318
2/1/2013,102.6920813
1/31/2013,103.4057891
1/30/2013,103.8830956
1/29/2013,103.4906436
1/28/2013,102.2920741
1/25/2013,101.6980927
1/24/2013,101.7723404
1/23/2013,101.0086501
1/22/2013,102.0799379
1/18/2013,101.3586748
1/17/2013,101.2844272
1/16/2013,99.95857593
1/15/2013,98.94032218
1/14/2013,99.85250783
1/11/2013,99.23731286
1/10/2013,99.51308992
1/9/2013,98.74939961
1/8/2013,98.80243366
1/7/2013,98.8448609
1/4/2013,98.7387928
1/3/2013,98.55847703
1/2/2013,98.77061323
12/31/2012,97.84063605
12/28/2012,96.75375466
12/27/2012,96.82834456
12/26/2012,96.94555726
12/24/2012,94.4201564
12/21/2012,94.47343489
12/20/2012,96.03982277
12/19/2012,95.37916938
12/18/2012,93.69556881
12/17/2012,92.91770272
12/14/2012,92.41688482
12/13/2012,91.52180604
12/12/2012,92.45950762
12/11/2012,91.41524904
12/10/2012,91.17016794
12/7/2012,91.56442883
12/6/2012,91.91606693
12/5/2012,93.64229031
12/4/2012,94.3029437
12/3/2012,94.93162999
11/30/2012,94.64119712
11/29/2012,93.74705017
11/28/2012,92.06520233
11/27/2012,92.79968018
11/26/2012,93.39577815
11/23/2012,93.97058691
11/21/2012,93.01257231
11/20/2012,92.3419621
11/19/2012,95.03504756
11/16/2012,92.25680525
11/15/2012,90.95816324
11/14/2012,91.88424402
11/13/2012,90.883651
11/12/2012,91.08589852
11/9/2012,91.61812885
11/8/2012,90.57495741
11/7/2012,89.88305798
11/6/2012,94.42830499
11/5/2012,91.17105538
11/2/2012,90.33013146
11/1/2012,92.70387872
10/31/2012,91.51578722
10/30/2012,90.92152886
10/29/2012,90.77296427
10/26/2012,91.55823425
10/25/2012,91.31416385
10/24/2012,90.97458765
10/23/2012,91.97209275
10/22/2012,94.15811457
10/19/2012,95.55886641
10/18/2012,97.73427647
10/17/2012,97.75549999
10/16/2012,97.72366472
10/15/2012,97.46898256
10/12/2012,97.47959432
10/11/2012,97.70244121
10/10/2012,96.83227718
10/9/2012,98.04201741
10/8/2012,94.79481995
10/5/2012,95.37846655
10/4/2012,97.32041797
10/3/2012,93.53202094
10/2/2012,97.51142959
10/1/2012,98.13752322
9/28/2012,97.95334862
9/27/2012,97.59209319
9/26/2012,95.60518829
9/25/2012,97.08208551
9/24/2012,97.67709446
9/21/2012,98.69710981
9/20/2012,97.61334351
9/19/2012,97.73022026
9/18/2012,101.2471482
9/17/2012,102.6602944
9/14/2012,105.1890825
9/13/2012,104.4559464
9/12/2012,103.0746757
9/11/2012,103.2446782
9/10/2012,102.5752932
9/7/2012,102.4477912
9/6/2012,101.502152
9/5/2012,101.3215243
9/4/2012,101.2577733
8/31/2012,103.1276294
8/30/2012,101.1499564
8/29/2012,102.0799972
8/28/2012,102.9779677
8/27/2012,102.058617
8/24/2012,102.7855454
8/23/2012,102.9138269
8/22/2012,103.9721492
8/21/2012,103.352122
8/20/2012,102.5931232
8/17/2012,102.6358837
8/16/2012,102.1975886
8/15/2012,100.8399428
8/14/2012,99.8778316
8/13/2012,99.1295229
8/10/2012,99.27918464
8/9/2012,99.80300073
8/8/2012,99.79231061
8/7/2012,100.1343946
8/6/2012,98.56294631
8/3/2012,97.70773636
8/2/2012,93.14305328
8/1/2012,95.04589541
7/31/2012,94.81663815
7/30/2012,96.66860974
7/27/2012,97.04546442
7/26/2012,96.24868595
7/25/2012,95.79646033
7/24/2012,95.29039833
7/23/2012,94.90277637
7/20/2012,98.45597766
7/19/2012,99.76958541
7/18/2012,96.76551523
7/17/2012,96.06564224
7/16/2012,95.21502739
7/13/2012,93.78297959
7/12/2012,92.68471738
7/11/2012,92.39400091
7/10/2012,90.34821834
7/9/2012,92.58781189
7/6/2012,90.92965128
7/5/2012,93.91218691
7/3/2012,94.38594709
7/2/2012,90.17594192
6/29/2012,91.48081451
6/28/2012,83.6528305
6/27/2012,86.36624449
6/26/2012,85.45100565
6/25/2012,85.28949291
6/22/2012,85.88170628
