Date,Open,High,Low,Settle,Volume,Open Interest
1986-09-30,14.4,14.4,13.9,13.97,11736.0,12447.0
1986-08-31,15.9,15.92,15.75,15.9,5427.0,26773.0
1986-07-31,11.67,11.7,10.91,11.06,15021.0,40553.0
1986-06-30,12.6,12.86,12.6,12.65,3412.0,14206.0
1986-05-31,14.05,14.05,13.62,13.66,610.0,8086.0
1986-04-30,12.85,13.05,12.78,12.78,523.0,4120.0
1986-03-31,12.05,12.05,11.33,11.33,421.0,1627.0
1986-02-28,15.0,15.22,14.6,14.88,78.0,1201.0
1986-01-31,19.37,19.37,19.11,19.11,28.0,930.0
1985-12-31,22.69,22.69,22.52,22.52,3.0,572.0
1985-11-30,25.9,25.9,25.18,25.18,1.0,430.0
1985-10-31,25.8,25.8,25.63,25.63,5.0,158.0
