Date,Open,High,Low,Settle,Volume,Open Interest
1996-12-31,26.05,26.9,25.96,26.57,34451.0,12138.0
1996-11-30,23.8,23.92,23.52,23.75,24780.0,89454.0
1996-10-31,24.1,24.2,22.8,23.09,30686.0,54360.0
1996-09-30,23.3,23.36,23.07,23.2,5838.0,42832.0
1996-08-31,20.72,20.82,20.72,20.8,1584.0,32652.0
1996-07-31,19.0,19.07,18.97,18.98,1593.0,27456.0
1996-06-30,18.5,18.58,18.48,18.53,1270.0,21973.0
1996-05-31,17.93,17.98,17.88,17.88,850.0,21288.0
1996-04-30,18.4,18.5,18.35,18.35,1039.0,20118.0
1996-03-31,17.9,18.08,17.9,18.08,305.0,21408.0
1996-02-29,17.11,17.11,17.1,17.11,773.0,18656.0
1996-01-31,16.91,16.92,16.88,16.9,846.0,11600.0
1995-12-31,17.5,17.55,17.42,17.55,527.0,7719.0
1995-11-30,17.09,17.09,17.04,17.04,1215.0,7731.0
1995-10-31,16.95,16.95,16.95,16.95,15.0,4825.0
1995-09-30,16.98,16.98,16.98,16.98,115.0,2844.0
1995-08-31,17.33,17.33,17.33,17.33,35.0,2412.0
1995-07-31,17.4,17.43,17.4,17.43,125.0,1519.0
1995-06-30,17.5,17.5,17.42,17.42,18.0,383.0
