Date,Open,High,Low,Settle,Volume,Open Interest
2013-08-31,106.93,107.1,104.5,104.96,39875.0,25351.0
2013-07-31,103.15,105.43,102.93,105.03,312702.0,356250.0
2013-06-30,96.61,97.63,96.18,96.44,93949.0,232026.0
2013-05-31,93.8,94.03,91.89,92.3,89628.0,136146.0
2013-04-30,94.33,94.52,92.81,93.41,37564.0,122606.0
2013-03-31,96.79,97.36,96.4,97.3,16877.0,85057.0
2013-02-28,94.05,94.17,92.92,93.2,10754.0,69629.0
2013-01-31,98.55,98.75,97.92,98.68,19603.0,57052.0
2012-12-31,92.44,93.48,92.06,93.72,5405.0,48203.0
2012-11-30,90.6,91.8,90.6,91.79,3594.0,40548.0
2012-10-31,89.35,89.75,89.35,89.46,3639.0,38456.0
2012-09-30,93.32,93.88,93.32,93.78,2083.0,38314.0
2012-08-31,96.95,97.22,95.93,97.27,3195.0,27187.0
2012-07-31,0.0,0.0,90.5,90.42,902.0,22842.0
2012-06-30,88.15,88.15,88.15,88.63,1272.0,20825.0
2012-05-31,0.0,0.0,0.0,88.1,1263.0,24014.0
2012-04-30,0.0,0.0,103.05,103.37,259.0,23131.0
2012-03-31,0.0,0.0,0.0,103.16,223.0,23373.0
2012-02-29,0.0,0.0,0.0,104.14,77.0,16778.0
2012-01-31,0.0,99.72,98.22,98.29,506.0,14406.0
2011-12-31,0.0,0.0,0.0,95.36,54.0,12718.0
2011-11-30,0.0,94.35,0.0,94.21,204.0,11900.0
2011-10-31,0.0,0.0,0.0,90.73,642.0,11952.0
2011-08-31,0.0,90.28,90.28,90.28,69.0,12265.0
2011-07-31,0.0,101.87,101.87,101.87,31.0,11992.0
2011-06-30,0.0,100.86,100.86,100.86,650.0,11477.0
2011-05-31,0.0,103.07,103.07,103.07,0.0,7197.0
2011-04-30,0.0,108.78,108.78,108.78,0.0,4801.0
2011-03-31,0.0,103.05,103.05,103.05,0.0,3740.0
2011-02-28,0.0,99.27,99.27,99.27,0.0,3740.0
2011-01-31,0.0,98.97,98.97,98.97,0.0,3520.0
2010-12-31,0.0,92.68,92.68,92.68,0.0,2775.0
2010-11-30,0.0,87.69,87.68,87.68,0.0,2180.0
2010-10-31,0.0,87.29,87.29,87.29,0.0,512.0
2010-09-30,0.0,88.39,88.39,88.39,0.0,512.0
2010-08-31,0.0,84.32,84.32,84.32,0.0,512.0
2010-07-31,0.0,86.1,86.1,86.1,0.0,512.0
2010-06-30,82.29,82.36,82.29,82.36,0.0,507.0
2010-05-31,0.0,84.32,84.32,84.32,0.0,507.0
2010-04-30,0.0,94.2,94.2,94.2,0.0,507.0
2010-03-31,0.0,87.22,87.22,87.22,0.0,507.0
2010-02-28,0.0,85.76,85.76,85.76,0.0,507.0
2010-01-31,0.0,84.09,84.09,84.09,0.0,507.0
2009-12-31,0.0,89.59,89.59,89.59,0.0,507.0
2009-11-30,0.0,91.71,91.71,91.71,0.0,507.0
2009-10-31,87.51,87.51,87.51,87.51,0.0,357.0
2009-09-30,0.0,81.42,81.42,81.42,0.0,357.0
2009-08-31,0.0,81.72,81.72,81.72,0.0,357.0
2009-07-31,0.0,83.97,83.97,83.97,0.0,357.0
2009-06-30,0.0,82.03,82.03,82.03,0.0,357.0
2009-05-31,77.75,77.75,77.75,77.75,0.0,354.0
2009-04-30,0.0,70.6,70.6,70.6,0.0,354.0
2009-03-31,0.0,72.59,72.59,72.59,0.0,354.0
2009-02-28,0.0,67.26,67.26,67.26,0.0,354.0
2009-01-31,66.76,66.76,66.76,66.76,0.0,354.0
2008-12-31,0.0,72.87,72.87,72.87,0.0,600.0
2008-11-30,0.0,83.38,83.38,83.38,0.0,600.0
2008-10-31,88.9,88.9,88.9,88.9,500.0,600.0
2008-09-30,0.0,106.15,106.15,106.15,0.0,105.0
2008-08-31,0.0,116.94,116.94,116.94,0.0,105.0
2008-07-31,118.57,118.57,118.57,118.57,0.0,105.0
2008-06-30,136.09,136.09,136.09,136.09,0.0,105.0
2008-05-31,124.92,124.92,124.92,124.92,0.0,110.0
2008-04-30,104.05,104.05,104.05,104.05,0.0,60.0
2008-03-31,93.74,93.74,93.74,93.74,34.0,79.0
2008-02-29,97.53,97.53,97.53,97.53,0.0,90.0
2008-01-31,89.23,89.23,89.23,89.23,0.0,70.0
2007-12-31,85.58,85.58,85.58,85.58,16.0,36.0
2007-11-30,83.74,83.74,83.74,83.74,0.0,0.0
