Date,Open,High,Low,Settle,Volume,Open Interest
1992-11-30,20.55,20.57,20.3,20.4,28205.0,10431.0
1992-10-31,20.57,20.68,20.43,20.62,51656.0,79190.0
1992-09-30,21.57,21.68,21.46,21.63,24433.0,55745.0
1992-08-31,21.16,21.37,21.16,21.3,6773.0,39625.0
1992-07-31,21.43,21.64,21.43,21.61,3477.0,26337.0
1992-06-30,21.78,21.82,21.35,21.42,4465.0,28398.0
1992-05-31,21.57,21.75,21.55,21.75,3662.0,26408.0
1992-04-30,20.55,20.7,20.5,20.66,815.0,22067.0
1992-03-31,19.48,19.54,19.44,19.54,1362.0,18180.0
1992-02-29,19.1,19.21,19.1,19.21,175.0,17251.0
1992-01-31,19.15,19.17,19.15,19.17,191.0,14535.0
1991-12-31,19.0,19.57,19.0,19.57,762.0,10163.0
1991-11-30,20.67,20.67,20.52,20.52,15.0,8712.0
1991-10-31,21.18,21.26,21.18,21.26,166.0,8347.0
1991-09-30,20.85,20.86,20.82,20.82,205.0,6880.0
1991-08-31,20.95,20.95,20.95,20.95,680.0,3477.0
1991-07-31,20.88,20.9,20.85,20.85,105.0,3485.0
1991-06-30,20.15,20.15,20.03,20.03,450.0,3640.0
1991-05-31,21.2,21.2,21.2,21.2,0.0,2939.0
1991-04-30,19.85,19.85,19.85,19.85,0.0,2451.0
1991-03-31,19.43,19.43,19.43,19.43,100.0,2290.0
1991-02-28,18.5,18.7,18.46,18.47,61.0,2041.0
1991-01-31,18.93,18.93,18.93,18.93,175.0,1432.0
1990-12-31,21.6,22.29,21.6,22.29,97.0,1382.0
1990-11-30,24.0,24.0,21.68,21.68,3.0,200.0
