Date,Open,High,Low,Settle,Volume,Open Interest
1988-03-31,16.24,16.25,15.99,16.09,16686.0,8194.0
1988-02-29,15.96,16.2,15.89,16.01,29440.0,70861.0
1988-01-31,16.91,16.96,16.74,16.84,16302.0,65564.0
1987-12-31,16.57,16.62,16.46,16.49,2850.0,33292.0
1987-11-30,18.5,18.55,18.25,18.26,1362.0,17655.0
1987-10-31,19.42,19.52,19.42,19.52,120.0,8393.0
1987-09-30,19.25,19.28,19.2,19.2,282.0,8025.0
1987-08-31,19.4,19.4,19.28,19.3,75.0,6600.0
1987-07-31,20.49,20.49,20.4,20.44,275.0,5714.0
1987-06-30,19.98,20.05,19.98,20.05,136.0,678.0
1987-05-31,18.6,18.64,18.55,18.64,5.0,40.0
