Date,Open,High,Low,Settle,Volume,Open Interest
2003-02-28,37.0,37.55,36.1,36.79,50515.0,9103.0
2003-01-31,33.5,33.85,33.3,33.51,92521.0,171769.0
2002-12-31,30.0,30.8,29.4,30.59,30547.0,71628.0
2002-11-30,26.4,26.5,26.33,26.44,8931.0,34868.0
2002-10-31,26.2,26.35,26.05,26.21,7320.0,23952.0
2002-09-30,28.35,28.65,28.32,28.46,6745.0,19665.0
2002-08-31,27.55,27.55,27.4,27.53,727.0,16679.0
2002-07-31,25.8,25.8,25.34,25.34,1022.0,8382.0
2002-06-30,25.1,25.36,25.05,25.36,129.0,8519.0
2002-05-31,24.1,24.25,24.1,24.25,301.0,8663.0
2002-04-30,24.9,24.95,24.85,24.95,215.0,9052.0
2002-03-31,24.35,24.56,24.2,24.56,240.0,5742.0
2002-02-28,21.3,21.67,21.3,21.67,158.0,5940.0
2002-01-31,20.63,20.63,20.63,20.63,154.0,5434.0
2001-12-31,20.83,20.83,20.83,20.83,50.0,4621.0
2001-11-30,20.47,20.85,20.47,20.85,300.0,3762.0
2001-10-31,21.17,21.17,21.17,21.17,0.0,2765.0
2001-09-30,22.63,22.63,22.63,22.63,0.0,2736.0
2001-08-31,23.43,23.75,23.43,23.75,98.0,1564.0
2001-07-31,23.05,23.05,23.05,23.05,0.0,1049.0
2001-06-30,23.72,23.72,23.72,23.72,0.0,914.0
2001-05-31,24.23,24.23,24.23,24.23,0.0,904.0
2001-04-30,24.07,24.07,24.07,24.07,0.0,891.0
2001-03-31,23.21,23.21,23.21,23.21,0.0,969.0
2001-02-28,22.39,22.39,22.39,22.39,0.0,855.0
2001-01-31,22.31,22.31,22.31,22.31,0.0,855.0
2000-12-31,22.06,22.06,22.06,22.06,0.0,705.0
2000-11-30,23.58,23.58,23.58,23.58,0.0,355.0
2000-10-31,22.81,22.81,22.81,22.81,0.0,355.0
2000-09-30,24.5,24.5,24.5,24.5,322.0,161.0
2000-08-31,23.86,23.86,23.86,23.86,0.0,0.0
