Date,Open,High,Low,Settle,Volume,Open Interest
1994-07-31,19.5,19.54,19.1,19.2,30232.0,12588.0
1994-06-30,18.84,19.5,18.75,19.37,52859.0,93275.0
1994-05-31,17.61,17.98,17.58,17.93,18735.0,64044.0
1994-04-30,16.24,16.65,16.24,16.64,6543.0,33362.0
1994-03-31,15.0,15.15,14.67,15.15,2471.0,20974.0
1994-02-28,15.48,15.48,15.24,15.24,571.0,14068.0
1994-01-31,15.65,15.87,15.65,15.65,1049.0,13936.0
1993-12-31,15.85,15.85,15.83,15.83,8.0,12295.0
1993-11-30,16.9,16.97,16.65,16.77,1058.0,10055.0
1993-10-31,18.24,18.3,18.06,18.06,919.0,9073.0
1993-09-30,19.45,19.45,19.22,19.34,1009.0,8543.0
1993-08-31,19.37,19.38,19.37,19.38,639.0,8061.0
1993-07-31,18.99,19.04,18.99,19.04,533.0,6310.0
1993-06-30,20.0,20.0,19.94,19.94,2.0,4650.0
1993-05-31,20.33,20.33,20.33,20.33,0.0,2167.0
1993-04-30,20.71,20.71,20.71,20.71,0.0,1878.0
1993-03-31,20.44,20.58,20.44,20.58,60.0,874.0
1993-02-28,20.61,20.61,20.61,20.61,0.0,685.0
1993-01-31,20.43,20.43,20.43,20.43,0.0,27.0
