Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1996-10-31,380.4,380.4,380.4,,,380.4,0.0,2.0
1996-09-30,378.1,379.0,377.2,,,377.7,847.0,739.0
1996-08-31,388.9,388.9,387.2,,,388.3,839.0,10484.0
1996-07-31,388.4,391.2,388.2,,,390.5,2343.0,14629.0
1996-06-30,385.9,386.5,384.0,,,384.2,308.0,7460.0
1996-05-31,397.0,398.5,396.4,,,397.5,136.0,6434.0
1996-04-30,398.0,398.3,397.3,,,398.2,40.0,5526.0
1996-03-31,404.3,404.7,402.5,,,403.3,611.0,5368.0
1996-02-29,409.7,409.7,408.6,,,408.6,12.0,3990.0
1996-01-31,413.5,413.5,413.5,,,413.5,0.0,4116.0
1995-12-31,395.7,396.4,395.7,,,396.4,247.0,3292.0
1995-11-30,396.5,397.1,396.5,,,397.1,61.0,3480.0
1995-10-31,396.6,396.6,396.4,,,396.4,1.0,2012.0
1995-09-30,399.5,399.5,399.5,,,399.5,1.0,559.0
1995-08-31,401.3,401.3,401.3,,,401.3,0.0,226.0
1995-07-31,403.9,403.9,403.9,,,403.9,0.0,139.0
1995-06-30,407.8,407.8,407.8,,,407.8,0.0,122.0
1995-05-31,410.1,410.1,410.1,,,410.1,0.0,114.0
1995-04-30,416.6,416.6,416.6,,,416.6,0.0,114.0
1995-03-31,424.0,424.0,424.0,,,424.0,73.0,88.0
1995-02-28,411.8,411.8,411.8,,,411.8,0.0,15.0
1995-01-31,415.5,415.5,415.5,,,415.5,0.0,15.0
1994-12-31,430.8,430.8,430.8,,,430.8,0.0,16.0
1994-11-30,429.4,429.4,429.4,,,429.4,0.0,0.0
