Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2003-04-30,335.0,335.0,334.5,,,334.5,30.0,28.0
2003-03-31,334.5,336.4,334.5,,,335.9,4021.0,4026.0
2003-02-28,346.8,351.5,346.8,,,350.3,34862.0,105993.0
2003-01-31,370.0,370.5,368.0,,,369.1,30468.0,130256.0
2002-12-31,345.0,349.6,342.5,,,349.0,829.0,12325.0
2002-11-30,319.6,320.0,318.6,,,318.6,677.0,10699.0
2002-10-31,318.0,320.0,318.0,,,319.9,325.0,5600.0
2002-09-30,326.0,327.0,325.8,,,326.7,173.0,4770.0
2002-08-31,315.2,315.2,315.2,,,315.2,0.0,4339.0
2002-07-31,306.6,306.6,306.6,,,306.6,0.0,4244.0
2002-06-30,317.5,317.5,317.5,,,317.5,0.0,3482.0
2002-05-31,332.5,332.5,331.1,,,331.6,12.0,2686.0
2002-04-30,313.0,314.0,313.0,,,314.0,1.0,2470.0
2002-03-31,308.8,308.8,308.8,,,308.8,0.0,2184.0
2002-02-28,301.2,301.2,301.2,,,301.2,0.0,673.0
2002-01-31,287.2,287.2,287.2,,,287.2,0.0,330.0
2001-12-31,283.5,283.5,283.5,,,283.5,0.0,330.0
2001-11-30,279.3,279.3,279.3,,,279.3,9.0,110.0
2001-10-31,284.3,284.3,284.3,,,284.3,0.0,1.0
2001-09-30,298.3,298.3,298.3,,,298.3,0.0,0.0
2001-08-31,284.3,284.3,284.3,,,284.3,0.0,0.0
2001-07-31,277.9,277.9,277.9,,,277.9,0.0,0.0
2001-06-30,283.2,283.2,283.2,,,283.2,0.0,0.0
2001-05-31,278.5,278.5,278.5,,,278.5,0.0,0.0
