Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2013-04-30,1467.4,1480.0,1451.4,,,1453.6,646.0,0.0
2013-03-31,1604.7,1606.6,1593.6,,,1594.8,4717.0,6601.0
2013-02-28,1596.3,1602.5,1574.3,,,1578.1,190164.0,245211.0
2013-01-31,1677.0,1681.7,1658.4,,,1662.0,159622.0,255662.0
2012-12-31,1658.6,1682.6,1658.6,,,1678.0,5912.0,50545.0
2012-11-30,1729.4,1735.6,1712.8,,,1714.8,1142.0,29981.0
2012-10-31,1720.1,1728.8,1719.7,,,1723.2,806.0,16724.0
2012-09-30,1786.2,1788.7,1775.4,,,1778.0,851.0,17086.0
2012-08-31,1669.9,1698.5,1655.0,,,1691.8,533.0,14307.0
2012-07-31,1627.0,1627.0,1618.7,,,1618.7,97.0,16689.0
2012-06-30,1576.0,1612.8,1570.0,,,1612.8,879.0,13610.0
2012-05-31,1570.0,1572.6,1570.0,,,1572.6,56.0,13152.0
2012-04-30,1658.0,1675.0,1658.0,,,1675.0,337.0,12712.0
2012-03-31,1681.6,1682.5,1681.6,,,1682.5,13.0,8858.0
2012-02-29,1730.0,1730.0,1726.2,,,1726.2,322.0,4246.0
2012-01-31,1754.9,1754.9,1754.9,,,1754.9,25.0,2784.0
2011-12-31,1583.2,1583.2,1583.2,,,1583.2,0.0,1371.0
2011-11-30,1768.7,1768.7,1768.7,,,1768.7,50.0,820.0
2011-10-31,1728.7,1740.3,1728.7,,,1740.3,47.0,460.0
2011-09-30,1637.8,1637.8,1637.8,,,1637.8,0.0,328.0
2011-08-31,1846.0,1846.0,1846.0,,,1846.0,0.0,335.0
2011-07-31,1649.6,1649.6,1646.6,,,1646.6,1.0,226.0
2011-06-30,1523.4,1523.4,1523.4,,,1523.4,0.0,201.0
2011-05-31,1557.5,1557.5,1557.5,,,1557.5,0.0,0.0
