Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2003-08-31,369.8,369.8,369.8,,,369.8,28.0,152.0
2003-07-31,356.3,357.5,353.0,,,354.0,2554.0,5806.0
2003-06-30,345.7,348.1,344.5,,,346.3,23509.0,99944.0
2003-05-31,366.5,367.0,361.5,,,365.6,40340.0,117710.0
2003-04-30,339.8,341.3,338.0,,,340.2,1582.0,13511.0
2003-03-31,336.0,338.4,336.0,,,337.6,364.0,12385.0
2003-02-28,349.0,352.2,348.3,,,351.8,1038.0,9875.0
2003-01-31,371.7,371.7,370.0,,,370.6,770.0,13262.0
2002-12-31,350.2,350.2,350.2,,,350.2,3.0,9333.0
2002-11-30,320.8,320.8,319.8,,,319.8,4.0,8338.0
2002-10-31,320.9,320.9,320.9,,,320.9,490.0,8219.0
2002-09-30,327.8,327.8,327.8,,,327.8,0.0,7062.0
2002-08-31,316.3,316.3,316.3,,,316.3,0.0,6842.0
2002-07-31,308.0,308.0,308.0,,,308.0,116.0,5933.0
2002-06-30,324.0,324.0,319.6,,,319.6,2.0,4015.0
2002-05-31,332.9,334.2,332.9,,,334.2,2.0,1781.0
2002-04-30,316.4,316.4,316.4,,,316.4,0.0,1880.0
2002-03-31,311.6,311.6,311.6,,,311.6,0.0,1675.0
2002-02-28,303.1,303.1,303.1,,,303.1,0.0,1970.0
2002-01-31,289.1,289.1,289.1,,,289.1,0.0,1923.0
2001-12-31,286.0,286.0,286.0,,,286.0,0.0,0.0
2001-11-30,281.5,281.5,281.5,,,281.5,0.0,0.0
2001-10-31,285.8,285.8,285.8,,,285.8,0.0,0.0
2001-09-30,300.4,300.4,300.4,,,300.4,0.0,0.0
