Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1985-04-30,323.5,324.5,321.7,,,323.0,158.0,50.0
1985-03-31,329.5,333.0,328.2,,,329.6,3596.0,7068.0
1985-02-28,291.5,291.5,288.6,,,288.7,24764.0,58723.0
1985-01-31,309.4,311.0,306.5,,,307.4,28000.0,47715.0
1984-12-31,314.0,314.0,313.3,,,313.8,1618.0,40142.0
1984-11-30,337.7,338.8,336.6,,,338.3,1920.0,36223.0
1984-10-31,347.5,347.7,345.0,,,347.0,589.0,31809.0
1984-09-30,361.8,364.2,361.7,,,364.2,648.0,26814.0
1984-08-31,370.5,372.0,370.5,,,372.0,659.0,22974.0
1984-07-31,369.4,369.7,364.3,,,364.3,756.0,22381.0
1984-06-30,408.7,408.7,408.1,,,408.1,5.0,23008.0
1984-05-31,425.8,429.5,425.8,,,428.3,725.0,20684.0
1984-04-30,417.5,417.5,416.0,,,417.1,477.0,18894.0
1984-03-31,433.6,434.0,431.5,,,432.5,1083.0,16981.0
1984-02-29,443.2,445.0,441.3,,,442.3,307.0,16080.0
1984-01-31,420.0,420.0,419.0,,,419.0,50.0,15239.0
1983-12-31,432.3,435.9,432.0,,,435.9,1717.0,13911.0
1983-11-30,467.5,467.5,460.0,,,460.5,534.0,8767.0
1983-10-31,435.0,435.0,433.3,,,433.3,351.0,6698.0
1983-09-30,464.5,465.5,464.5,,,465.5,623.0,1751.0
1983-08-31,491.0,491.0,491.0,,,491.0,150.0,354.0
1983-07-31,501.0,501.0,495.2,,,495.2,6.0,236.0
1983-06-30,495.0,495.0,495.0,,,495.0,0.0,23.0
1983-05-31,496.1,496.1,496.1,,,496.1,0.0,0.0
