Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1985-08-31,340.9,341.6,339.8,,,340.4,626.0,500.0
1985-07-31,328.0,329.7,324.8,,,327.1,6200.0,6845.0
1985-06-30,319.0,320.8,317.4,,,317.7,16159.0,40421.0
1985-05-31,316.1,323.0,316.0,,,319.5,24751.0,41848.0
1985-04-30,330.8,330.8,318.0,,,320.7,4495.0,18294.0
1985-03-31,339.5,341.5,337.0,,,338.7,626.0,13704.0
1985-02-28,300.5,300.5,297.3,,,297.5,1048.0,11143.0
1985-01-31,317.8,319.3,315.9,,,315.9,397.0,10287.0
1984-12-31,322.5,323.4,322.0,,,323.4,191.0,9536.0
1984-11-30,348.3,349.0,347.6,,,349.0,109.0,8395.0
1984-10-31,359.0,359.0,359.0,,,359.0,352.0,6962.0
1984-09-30,378.5,379.5,378.2,,,378.2,22.0,7693.0
1984-08-31,387.5,387.5,387.5,,,387.5,0.0,5816.0
1984-07-31,384.3,386.5,379.4,,,379.4,58.0,5110.0
1984-06-30,425.0,426.4,425.0,,,426.4,203.0,2937.0
1984-05-31,447.0,447.9,447.0,,,447.9,62.0,3002.0
1984-04-30,434.4,434.4,434.4,,,434.4,2.0,2876.0
1984-03-31,449.8,449.8,449.8,,,449.8,5.0,830.0
1984-02-29,455.0,458.9,455.0,,,458.9,2.0,918.0
1984-01-31,431.5,434.1,431.5,,,434.1,1.0,284.0
1983-12-31,451.6,451.6,451.6,,,451.6,0.0,256.0
1983-11-30,485.0,485.0,476.8,,,476.8,153.0,219.0
1983-10-31,449.1,449.1,449.1,,,449.1,0.0,141.0
1983-09-30,481.2,481.2,481.2,,,481.2,0.0,0.0
