Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1994-08-31,381.3,387.3,381.3,,,387.1,52.0,27.0
1994-07-31,384.4,385.0,381.5,,,383.0,4310.0,4125.0
1994-06-30,386.9,390.5,386.8,,,387.3,32350.0,72967.0
1994-05-31,388.2,391.4,388.0,,,390.0,24556.0,77491.0
1994-04-30,380.3,381.0,379.0,,,380.5,1728.0,12352.0
1994-03-31,393.8,399.0,393.8,,,396.9,822.0,9067.0
1994-02-28,387.4,387.4,386.8,,,386.8,111.0,5017.0
1994-01-31,384.5,387.5,382.8,,,387.5,40.0,5256.0
1993-12-31,398.6,399.2,397.7,,,397.7,37.0,5585.0
1993-11-30,378.0,378.5,377.5,,,377.5,27.0,5522.0
1993-10-31,376.7,376.7,376.7,,,376.7,0.0,3931.0
1993-09-30,363.9,363.9,363.9,,,363.9,2.0,4065.0
1993-08-31,380.5,382.5,380.5,,,382.5,8.0,3852.0
1993-07-31,414.0,419.7,414.0,,,419.7,11.0,3635.0
1993-06-30,390.0,390.0,389.5,,,389.5,3.0,2603.0
1993-05-31,390.5,390.5,390.3,,,390.5,22.0,3193.0
1993-04-30,367.9,367.9,367.9,,,367.9,0.0,3004.0
1993-03-31,347.8,350.1,347.8,,,350.1,0.0,3089.0
1993-02-28,340.5,340.5,340.5,,,340.5,0.0,2180.0
1993-01-31,344.1,344.1,344.1,,,344.1,0.0,1942.0
1992-12-31,349.5,349.5,349.5,,,349.5,0.0,711.0
1992-11-30,353.9,353.9,353.9,,,353.9,0.0,513.0
1992-10-31,359.0,359.0,359.0,,,359.0,0.0,100.0
1992-09-30,366.5,366.5,366.5,,,366.5,0.0,0.0
