Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1990-02-28,413.0,413.0,405.7,,,408.6,539.0,311.0
1990-01-31,415.2,416.5,411.8,,,412.4,4863.0,6528.0
1989-12-31,403.4,406.8,402.6,,,405.2,20747.0,67333.0
1989-11-30,412.5,419.0,412.0,,,417.5,47530.0,65987.0
1989-10-31,384.5,385.0,381.3,,,381.9,994.0,17896.0
1989-09-30,378.0,378.1,376.0,,,376.2,705.0,13989.0
1989-08-31,369.3,371.0,368.7,,,369.2,38.0,11890.0
1989-07-31,380.3,383.3,380.3,,,382.6,295.0,8430.0
1989-06-30,387.9,390.3,387.6,,,389.5,348.0,7461.0
1989-05-31,381.1,381.1,378.6,,,378.6,1.0,7887.0
1989-04-30,400.0,400.5,398.0,,,399.8,532.0,5174.0
1989-03-31,410.0,412.9,410.0,,,412.9,59.0,5579.0
1989-02-28,419.0,419.0,419.0,,,419.0,30.0,5304.0
1989-01-31,423.5,423.5,422.7,,,422.7,12.0,5754.0
1988-12-31,445.5,445.5,443.7,,,444.7,326.0,4740.0
1988-11-30,462.0,463.6,462.0,,,463.6,2.0,4364.0
1988-10-31,451.8,451.8,451.8,,,451.8,0.0,3982.0
1988-09-30,436.6,436.6,436.6,,,436.6,0.0,4081.0
1988-08-31,483.5,483.5,483.5,,,483.5,3.0,3508.0
1988-07-31,489.5,489.5,489.5,,,489.5,20.0,3073.0
1988-06-30,485.0,487.0,485.0,,,487.0,70.0,2772.0
1988-05-31,511.9,511.9,511.9,,,511.9,1.0,1898.0
1988-04-30,503.5,505.1,503.5,,,505.1,284.0,1053.0
1988-03-31,513.6,513.6,513.6,,,513.6,0.0,0.0
