Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2004-06-30,405.0,405.0,401.0,,,401.0,341.0,93.0
2004-05-31,393.5,395.2,392.6,,,394.0,9836.0,7360.0
2004-04-30,386.1,391.3,386.0,,,387.5,44291.0,159694.0
2004-03-31,425.4,428.5,424.4,,,428.3,55135.0,221765.0
2004-02-29,394.8,399.5,394.1,,,397.8,2305.0,33750.0
2004-01-31,400.5,404.6,400.3,,,403.9,1495.0,29953.0
2003-12-31,420.0,420.8,417.0,,,418.2,1556.0,18900.0
2003-11-30,395.8,403.0,395.3,,,399.9,1008.0,15306.0
2003-10-31,391.0,391.0,386.0,,,387.1,155.0,10778.0
2003-09-30,389.1,390.0,388.3,,,388.3,579.0,11351.0
2003-08-31,381.0,381.5,379.2,,,379.2,32.0,11697.0
2003-07-31,360.2,360.9,358.1,,,358.1,382.0,13074.0
2003-06-30,349.1,349.1,349.1,,,349.1,452.0,10439.0
2003-05-31,365.5,368.4,365.5,,,368.4,27.0,7625.0
2003-04-30,343.3,343.3,343.3,,,343.3,48.0,7772.0
2003-03-31,339.0,340.3,339.0,,,340.3,2.0,6872.0
2003-02-28,354.7,354.7,354.7,,,354.7,342.0,5795.0
2003-01-31,373.6,373.6,373.6,,,373.6,20.0,5052.0
2002-12-31,349.5,352.6,349.5,,,352.6,18.0,4531.0
2002-11-30,323.5,323.5,323.5,,,323.5,216.0,4499.0
2002-10-31,324.0,324.0,324.0,,,324.0,0.0,4103.0
2002-09-30,331.1,331.1,331.1,,,331.1,0.0,4031.0
2002-08-31,320.5,320.5,320.5,,,320.5,0.0,3997.0
2002-07-31,313.0,313.0,313.0,,,313.0,245.0,3723.0
2002-06-30,326.9,326.9,326.9,,,326.9,0.0,3569.0
2002-05-31,342.6,342.6,342.6,,,342.6,0.0,3614.0
2002-04-30,324.8,324.8,324.8,,,324.8,102.0,3788.0
2002-03-31,320.0,320.0,320.0,,,320.0,0.0,2858.0
2002-02-28,309.8,309.8,309.8,,,309.8,0.0,2858.0
2002-01-31,296.4,296.4,296.4,,,296.4,0.0,2208.0
2001-12-31,294.0,294.0,294.0,,,294.0,0.0,1448.0
2001-11-30,288.2,288.2,288.2,,,288.2,13.0,1448.0
2001-10-31,291.1,291.1,291.1,,,291.1,0.0,1463.0
2001-09-30,307.0,307.0,307.0,,,307.0,0.0,1433.0
2001-08-31,294.7,294.7,294.7,,,294.7,100.0,1433.0
2001-07-31,289.2,289.2,289.2,,,289.2,0.0,1433.0
2001-06-30,295.2,295.2,295.2,,,295.2,0.0,1533.0
2001-05-31,291.3,291.3,291.3,,,291.3,0.0,1530.0
2001-04-30,290.2,290.2,290.2,,,290.2,0.0,1490.0
2001-03-31,285.5,285.5,285.5,,,285.5,0.0,1470.0
2001-02-28,298.1,298.1,298.1,,,298.1,0.0,1473.0
2001-01-31,301.7,301.7,301.7,,,301.7,0.0,1464.0
2000-12-31,312.1,312.1,312.1,,,312.1,0.0,1559.0
2000-11-30,318.7,318.7,318.7,,,318.7,0.0,1459.0
2000-10-31,314.2,314.2,314.2,,,314.2,0.0,1459.0
2000-09-30,327.8,327.8,327.8,,,327.8,0.0,1459.0
2000-08-31,333.7,333.7,333.7,,,333.7,0.0,1504.0
2000-07-31,337.2,337.2,337.2,,,337.2,0.0,1521.0
2000-06-30,353.0,353.0,353.0,,,353.0,0.0,1521.0
2000-05-31,343.0,343.0,340.0,,,340.0,1.0,1521.0
2000-04-30,337.7,337.7,337.7,,,337.7,0.0,1521.0
2000-03-31,342.9,342.9,342.9,,,342.9,0.0,1496.0
2000-02-29,357.8,357.8,357.8,,,357.8,0.0,1449.0
2000-01-31,349.9,349.9,349.9,,,349.9,0.0,1329.0
1999-12-31,344.8,344.8,344.8,,,344.8,0.0,1332.0
1999-11-30,350.0,350.0,350.0,,,350.0,0.0,1374.0
1999-10-31,348.6,348.6,348.6,,,348.6,27.0,1387.0
1999-09-30,344.5,344.5,344.5,,,344.5,0.0,1255.0
1999-08-31,310.6,310.6,310.6,,,310.6,0.0,125.0
1999-07-31,315.6,315.6,315.6,,,315.6,0.0,0.0
1999-06-30,324.9,324.9,324.9,,,324.9,0.0,0.0
