Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2011-08-31,1817.9,1817.9,1786.7,,,1788.4,35.0,0.0
2011-07-31,1617.1,1634.9,1610.6,,,1628.3,6761.0,7986.0
2011-06-30,1512.3,1514.8,1499.1,,,1502.8,134201.0,307194.0
2011-05-31,1538.1,1541.9,1533.1,,,1536.8,114703.0,330819.0
2011-04-30,1537.8,1570.8,1533.6,,,1557.7,6238.0,71160.0
2011-03-31,1424.7,1442.0,1424.7,,,1441.3,1986.0,35338.0
2011-02-28,1416.9,1418.8,1408.9,,,1412.6,1003.0,22941.0
2011-01-31,1347.4,1347.4,1328.2,,,1337.4,753.0,15980.0
2010-12-31,1412.3,1428.1,1412.2,,,1427.7,475.0,16148.0
2010-11-30,1371.1,1395.0,1371.1,,,1392.9,369.0,13978.0
2010-10-31,1364.7,1364.7,1364.3,,,1364.3,273.0,10701.0
2010-09-30,1319.7,1320.0,1312.0,,,1316.2,189.0,10700.0
2010-08-31,1254.7,1255.9,1241.5,,,1255.9,10.0,8912.0
2010-07-31,1189.6,1189.6,1189.6,,,1189.6,3.0,8227.0
2010-06-30,1258.5,1258.5,1258.5,,,1258.5,260.0,7197.0
2010-05-31,1229.3,1229.3,1229.3,,,1229.3,66.0,3979.0
2010-04-30,1193.9,1193.9,1193.9,,,1193.9,290.0,3813.0
2010-03-31,1127.4,1127.4,1127.4,,,1127.4,0.0,2774.0
2010-02-28,1131.1,1131.1,1131.1,,,1131.1,0.0,2222.0
2010-01-31,1096.3,1096.3,1096.3,,,1096.3,4.0,1486.0
2009-12-31,1117.6,1117.6,1117.6,,,1117.6,0.0,1296.0
2009-11-30,1199.8,1199.8,1199.8,,,1199.8,0.0,265.0
2009-10-31,1061.6,1061.6,1061.6,,,1061.6,0.0,250.0
2009-09-30,1031.6,1031.6,1031.6,,,1031.6,0.0,0.0
