Date,USD_Value
11/30/2014,80.81
10/31/2014,80.8143
9/30/2014,81.0908
8/31/2014,77.9769
7/31/2014,77.2128
6/30/2014,75.7271
5/31/2014,76.4661
4/30/2014,76.0871
3/31/2014,76.666
2/28/2014,76.5768
1/31/2014,77.6096
12/31/2013,76.1999
11/30/2013,76.2475
10/31/2013,75.4044
9/30/2013,75.216
8/31/2013,77.0315
7/31/2013,76.3493
6/30/2013,77.5841
5/31/2013,77.3766
4/30/2013,75.5522
3/31/2013,76.3309
2/28/2013,75.7242
1/31/2013,73.4812
12/31/2012,73.5357
11/30/2012,73.3638
10/31/2012,73.1939
9/30/2012,72.7515
8/31/2012,73.6225
7/31/2012,74.6139
6/30/2012,74.4976
5/31/2012,75.6266
4/30/2012,72.2834
3/31/2012,72.7503
2/29/2012,72.1494
1/31/2012,72.6124
12/31/2011,73.3452
11/30/2011,72.3503
10/31/2011,70.4762
9/30/2011,72.8101
8/31/2011,68.8048
7/31/2011,68.2486
6/30/2011,69.081
5/31/2011,69.4314
4/30/2011,68.0969
3/31/2011,70.4695
2/28/2011,71.1552
1/31/2011,72.076
12/31/2010,73.1663
11/30/2010,74.765
10/31/2010,72.111
9/30/2010,73.5107
8/31/2010,76.7367
7/31/2010,75.4324
6/30/2010,78.8183
5/31/2010,79.1561
4/30/2010,75.8892
3/31/2010,75.422
2/28/2010,75.3419
1/31/2010,75.1658
12/31/2009,74.0774
11/30/2009,71.8809
10/31/2009,73.3442
9/30/2009,73.6204
8/31/2009,75.1263
7/31/2009,75.0626
6/30/2009,77.7928
5/31/2009,76.2331
4/30/2009,81.5932
3/31/2009,83.3136
2/28/2009,85.207
1/31/2009,82.8591
12/31/2008,79.5264
11/30/2008,83.4014
10/31/2008,82.8786
9/30/2008,76.2458
8/31/2008,75.0681
7/31/2008,71.6679
6/30/2008,70.8947
5/31/2008,70.6823
4/30/2008,70.8964
3/31/2008,70.267
2/29/2008,70.9159
1/31/2008,72.5073
12/31/2007,73.3816
11/30/2007,73.1693
10/31/2007,72.7769
9/30/2007,74.5189
8/31/2007,77.5042
7/31/2007,77.7511
6/30/2007,78.7737
5/31/2007,79.0403
4/30/2007,78.9899
3/31/2007,80.6115
2/28/2007,81.4759
1/31/2007,82.6031
12/31/2006,81.5033
11/30/2006,80.3209
10/31/2006,81.5546
9/30/2006,81.9756
8/31/2006,81.2571
7/31/2006,81.6014
6/30/2006,81.346
5/31/2006,80.5191
4/30/2006,81.8399
3/31/2006,85.1805
2/28/2006,84.7234
1/31/2006,84.1471
12/31/2005,86.0324
11/30/2005,86.3923
10/31/2005,85.4886
9/30/2005,84.3839
8/31/2005,83.8635
7/31/2005,85.6033
6/30/2005,85.3425
5/31/2005,84.6111
4/30/2005,82.3885
3/31/2005,81.7557
2/28/2005,80.8084
1/31/2005,81.6737
12/31/2004,79.4921
11/30/2004,79.9122
10/31/2004,82.6318
9/30/2004,85.2069
8/31/2004,86.8058
7/31/2004,87.8211
6/30/2004,87.3445
5/31/2004,87.7242
4/30/2004,88.815
3/31/2004,85.3925
2/29/2004,86.2933
1/31/2004,85.6256
12/31/2003,84.8885
11/30/2003,87.3515
10/31/2003,89.2009
9/30/2003,90.1292
8/31/2003,94.347
7/31/2003,94.4006
6/30/2003,92.1042
5/31/2003,91.6268
4/30/2003,94.9395
3/31/2003,96.5993
2/28/2003,97.3897
1/31/2003,98.3099
12/31/2002,100.2584
11/30/2002,103.1312
10/31/2002,103.2158
9/30/2002,103.5593
8/31/2002,102.9429
7/31/2002,103.5848
6/30/2002,102.2039
5/31/2002,105.6463
4/30/2002,108.9293
3/31/2002,111.7934
2/28/2002,112.686
1/31/2002,112.8305
12/31/2001,110.536
11/30/2001,108.6795
10/31/2001,108.6578
9/30/2001,107.3117
8/31/2001,106.6264
7/31/2001,109.181
6/30/2001,110.3002
5/31/2001,109.8241
4/30/2001,108.4157
3/31/2001,110.2001
2/28/2001,105.5072
1/31/2001,103.9769
12/31/2000,102.9842
11/30/2000,106.4392
10/31/2000,106.5666
9/30/2000,104.07
8/31/2000,102.9537
7/31/2000,102.0888
6/30/2000,99.9414
5/31/2000,101.6856
4/30/2000,101.8361
3/31/2000,98.0586
2/29/2000,99.3742
1/31/2000,98.1888
12/31/1999,95.8083
11/30/1999,96.4453
10/31/1999,95.2188
9/30/1999,95.2238
8/31/1999,96.6992
7/31/1999,97.4724
6/30/1999,99.5112
5/31/1999,98.9972
4/30/1999,97.9125
3/31/1999,97.96
2/28/1999,97.5429
1/31/1999,95.5994
12/31/1998,94.6153
11/30/1998,96.8244
10/31/1998,94.9459
9/30/1998,98.3854
8/31/1998,102.0295
7/31/1998,101.9395
6/30/1998,100.3247
5/31/1998,99.8518
4/30/1998,98.1488
3/31/1998,99.0531
2/28/1998,97.3987
1/31/1998,98.597
12/31/1997,97.9869
11/30/1997,96.3094
10/31/1997,93.8666
9/30/1997,94.551
8/31/1997,95.2904
7/31/1997,95.1516
6/30/1997,92.587
5/31/1997,92.534
4/30/1997,95.4034
3/31/1997,93.1875
2/28/1997,92.8091
1/31/1997,91.6567
12/31/1996,88.4869
11/30/1996,87.7464
10/31/1996,87.4656
9/30/1996,87.9824
8/31/1996,86.8052
7/31/1996,86.4925
6/30/1996,87.6389
5/31/1996,87.5508
4/30/1996,87.0609
3/31/1996,86.6871
2/29/1996,86.4289
1/31/1996,87.4318
12/31/1995,85.2587
11/30/1995,85.213
10/31/1995,84.1289
9/30/1995,83.9326
8/31/1995,84.447
7/31/1995,81.0703
6/30/1995,80.5655
5/31/1995,80.9097
4/30/1995,80.1784
3/31/1995,81.4678
2/28/1995,85.0448
1/31/1995,86.8324
12/31/1994,87.129
11/30/1994,86.7294
10/31/1994,84.3366
