Date,Open,High,Low,Settle,Volume,Open Interest
2011-09-30,85.84,87.46,85.11,86.89,210962.0,57434.0
2011-08-31,88.79,89.54,87.67,88.81,208605.0,294270.0
2011-07-31,97.58,97.76,95.38,96.13,48996.0,101169.0
2011-06-30,96.03,96.8,95.01,96.5,38446.0,73826.0
2011-05-31,102.05,104.59,101.05,104.09,15042.0,48946.0
2011-04-30,113.35,114.84,113.35,114.82,10352.0,42217.0
2011-03-31,106.44,108.35,106.44,108.3,9643.0,31632.0
2011-02-28,102.86,102.86,100.84,101.09,7415.0,32592.0
2011-01-31,97.06,98.73,96.73,98.71,15713.0,23587.0
2010-12-31,92.69,94.42,92.69,94.42,1291.0,18697.0
2010-11-30,87.35,87.35,86.58,86.59,1081.0,16367.0
2010-10-31,85.35,85.35,85.29,85.35,2713.0,14093.0
2010-09-30,85.23,85.6,85.23,85.54,1153.0,10349.0
2010-08-31,0.0,80.36,80.36,80.36,594.0,7129.0
2010-07-31,0.0,84.13,84.13,84.13,386.0,4859.0
2010-06-30,0.0,80.06,80.06,80.06,14.0,5207.0
2010-05-31,0.0,81.32,81.32,81.32,16.0,4351.0
2010-04-30,0.0,93.43,93.43,93.43,358.0,3983.0
2010-03-31,0.0,86.33,86.33,86.33,0.0,3445.0
2010-02-28,0.0,83.72,83.72,83.72,4.0,2917.0
2010-01-31,0.0,80.4,80.4,80.4,325.0,2019.0
2009-12-31,0.0,86.58,86.58,86.58,0.0,1869.0
2009-11-30,0.0,88.19,88.19,88.19,1.0,1923.0
2009-10-31,84.22,84.22,84.22,84.22,0.0,1680.0
2009-09-30,0.0,77.74,77.74,77.74,660.0,1710.0
2009-08-31,0.0,78.27,78.27,78.27,10.0,1361.0
2009-07-31,0.0,80.11,80.11,80.11,0.0,1327.0
2009-06-30,0.0,78.83,78.83,78.83,20.0,1343.0
2009-05-31,74.9,74.9,74.9,74.9,0.0,1249.0
2009-04-30,0.0,67.68,67.68,67.68,0.0,1214.0
2009-03-31,0.0,68.33,68.33,68.33,0.0,1126.0
2009-02-28,0.0,61.8,61.8,61.8,0.0,1126.0
2009-01-31,62.86,62.86,62.86,62.86,0.0,1122.0
2008-12-31,0.0,69.48,69.48,69.48,0.0,1102.0
2008-11-30,0.0,77.77,77.77,77.77,0.0,992.0
2008-10-31,84.37,84.37,84.37,84.37,600.0,970.0
2008-09-30,0.0,105.41,105.41,105.41,0.0,385.0
2008-08-31,0.0,116.99,116.99,116.99,0.0,385.0
2008-07-31,120.53,120.53,120.53,120.53,0.0,385.0
2008-06-30,136.45,136.45,136.45,136.45,0.0,385.0
2008-05-31,123.87,123.87,123.87,123.87,0.0,339.0
2008-04-30,103.95,103.95,103.95,103.95,0.0,21.0
2008-03-31,93.64,93.64,93.64,93.64,0.0,21.0
2008-02-29,97.0,97.0,97.0,97.0,0.0,40.0
2008-01-31,88.24,88.24,88.24,88.24,0.0,40.0
2007-12-31,85.37,85.37,85.37,85.37,10.0,30.0
2007-11-30,83.01,83.01,83.01,83.01,0.0,20.0
2007-10-31,80.61,80.61,80.61,80.61,0.0,0.0
2007-09-30,71.36,71.36,71.36,71.36,0.0,0.0
2007-08-31,68.09,68.09,68.09,68.09,0.0,0.0
2007-07-31,70.64,70.64,70.64,70.64,0.0,0.0
2007-06-30,71.19,71.19,71.19,71.19,0.0,0.0
2007-05-31,69.2,69.2,69.2,69.2,0.0,0.0
2007-04-30,67.15,67.15,67.15,67.15,0.0,0.0
2007-03-31,68.02,68.02,68.02,68.02,0.0,0.0
2007-02-28,62.09,62.09,62.09,62.09,0.0,0.0
2007-01-31,62.0,62.0,62.0,62.0,0.0,0.0
2006-12-31,65.71,65.71,65.71,65.71,0.0,0.0
