Date,NYSE_Value
9/30/1992,2426.25
8/31/1992,2411.13
7/31/1992,2465.27
6/30/1992,2372
5/31/1992,2420.01
4/30/1992,2413.98
3/31/1992,2360.59
2/29/1992,2413.03
1/31/1992,2391.78
12/31/1991,2426.04
11/30/1991,2196.69
10/31/1991,2289.64
9/30/1991,2255.8
8/31/1991,2291.22
7/31/1991,2245.23
6/30/1991,2151.44
5/31/1991,2252.1
4/30/1991,2171.53
3/31/1991,2170.79
2/28/1991,2122.15
1/31/1991,1983.53
12/31/1990,1908.45
11/30/1990,1861.61
10/31/1990,1757.04
9/30/1990,1774.8
8/31/1990,1871.23
7/31/1990,2057.65
6/30/1990,2066.95
5/31/1990,2082.39
4/30/1990,1919.03
3/31/1990,1975.7
2/28/1990,1935.73
1/31/1990,1919.13
12/31/1989,2062.3
11/30/1989,2022.75
10/31/1989,1990.4
9/30/1989,2050.99
8/31/1989,2064.73
7/31/1989,2034.49
6/30/1989,1881.07
5/31/1989,1891.11
4/30/1989,1830.63
3/31/1989,1751.33
2/28/1989,1718.13
1/31/1989,1761.9
12/31/1988,1652.25
11/30/1988,1627.3
10/31/1988,1659.44
9/30/1988,1623.81
8/31/1988,1567.98
7/31/1988,1621.48
6/30/1988,1633.32
5/31/1988,1565.34
4/30/1988,1563.54
3/31/1988,1550.11
2/29/1988,1590.92
1/31/1988,1523.99
12/31/1987,1461.61
11/30/1987,1371.31
10/31/1987,1488.78
9/30/1987,1905.81
8/31/1987,1950.43
7/31/1987,1888.89
6/30/1987,1808.85
5/31/1987,1728.59
4/30/1987,1722.04
3/31/1987,1754.08
2/28/1987,1713.05
1/31/1987,1650.67
12/31/1986,1465.31
11/30/1986,1507.5
10/31/1986,1484.76
9/30/1986,1410.96
8/31/1986,1536.57
7/31/1986,1436.86
6/30/1986,1522.3
5/31/1986,1502.1
4/30/1986,1435.38
3/31/1986,1455.9
2/28/1986,1382.52
1/31/1986,1291.37
12/31/1985,1285.66
11/30/1985,1232.16
10/31/1985,1159.41
9/30/1985,1112.25
8/31/1985,1156.66
7/31/1985,1168.08
6/30/1985,1174.85
5/31/1985,1159.2
4/30/1985,1100.94
3/31/1985,1106.01
2/28/1985,1109.5
1/31/1985,1097.02
12/31/1984,1019.1
11/30/1984,997.1
10/31/1984,1012.33
