Date,Oil_Value
12/31/1988,17.12
11/30/1988,15.42
10/31/1988,13.54
9/30/1988,13.33
8/31/1988,15.19
7/31/1988,16.37
6/30/1988,15.2
5/31/1988,17.54
4/30/1988,18.1
3/31/1988,17.09
2/29/1988,15.98
1/31/1988,16.97
12/31/1987,16.74
11/30/1987,18.52
10/31/1987,19.96
9/30/1987,19.62
8/31/1987,19.76
7/31/1987,21.43
6/30/1987,20.22
5/31/1987,19.36
4/30/1987,18.76
3/31/1987,18.82
2/28/1987,16.45
1/31/1987,18.73
12/31/1986,17.93
11/30/1986,15
10/31/1986,15.25
9/30/1986,14.7
8/31/1986,15.93
7/31/1986,11.23
6/30/1986,12.8
5/31/1986,14.3
4/30/1986,13.38
3/31/1986,10.25
2/28/1986,13.23
1/31/1986,18.95
