Date,Value
6/30/1990,15.73
5/31/1990,15.3
4/30/1990,16.35
3/31/1990,17.95
2/28/1990,19.2
1/31/1990,20.5
12/31/1989,21.05
11/30/1989,18.48
10/31/1989,18.93
9/30/1989,18.23
8/31/1989,17.2
7/31/1989,16.3
6/30/1989,18.28
5/31/1989,18.25
4/30/1989,20.15
3/31/1989,20.45
2/28/1989,17.23
1/31/1989,16.38
12/31/1988,16.23
11/30/1988,14.35
10/31/1988,12.6
9/30/1988,11.93
8/31/1988,14.4
7/31/1988,15.75
6/30/1988,14.18
5/31/1988,16.2
4/30/1988,16.6
3/31/1988,15.65
2/29/1988,14.73
1/31/1988,16.28
12/31/1987,17.6
11/30/1987,17.7
10/31/1987,18.8
9/30/1987,18.48
8/31/1987,18.63
7/31/1987,20.03
6/30/1987,19.08
5/31/1987,18.58
