Date,Value
07/31/87,445.8
06/30/87,447.3
05/31/87,451
04/30/87,418.5
03/31/87,421
02/28/87,405.85
01/31/87,388.8
12/31/86,388.75
11/30/86,389.5
10/31/86,425
09/30/86,423.2
08/31/86,384.7
07/31/86,345.1
06/30/86,346.75
05/31/86,343.2
04/30/86,333.1
03/31/86,344
02/28/86,338.15
01/31/86,326.8
12/31/85,326.8
11/30/85,325.3
10/31/85,322.3
09/30/85,325.75
08/31/85,333.25
07/31/85,313.9
06/30/85,317.75
05/31/85,314
04/30/85,321.1
03/31/85,329.25
02/28/85,287.75
01/31/85,309
12/31/84,308.3
11/30/84,329
10/31/84,345.4
09/30/84,343.75
08/31/84,348.25
07/31/84,370
06/30/84,373.05
05/31/84,384.25
04/30/84,387.2
03/31/84,388.5
02/29/84,394.25
01/31/84,382.4
12/31/83,382.4
11/30/83,405
10/31/83,389
09/30/83,405
08/31/83,414.25
07/31/83,416.3
06/30/83,416
05/31/83,437.5
04/30/83,414.8
03/31/83,414.75
02/28/83,408.5
01/31/83,456.9
12/31/82,456.9
11/30/82,436
10/31/82,402
09/30/82,397
08/31/82,411.5
07/31/82,310.3
06/30/82,317.5
05/31/82,325.25
04/30/82,327
03/31/82,320
02/28/82,362.6
01/31/82,397.5
12/31/81,397.5
11/30/81,414.5
10/31/81,436.8
09/30/81,428.75
08/31/81,425
07/31/81,422
06/30/81,426
05/31/81,479.25
04/30/81,514.3
03/31/81,513.75
02/28/81,489
01/31/81,589.8
12/31/80,589.75
11/30/80,619.75
10/31/80,682
09/30/80,666.75
08/31/80,631.25
07/31/80,660
06/30/80,653.5
05/31/80,535.5
04/30/80,509.5
03/31/80,494.5
02/29/80,637
01/31/80,512
12/31/79,512
11/30/79,415.65
10/31/79,414.8
09/30/79,397.25
08/31/79,315.1
07/31/79,282.5
06/30/79,277.5
05/31/79,274.6
04/30/79,239.7
03/31/79,240.1
02/28/79,251.3
01/31/79,226
12/31/78,226
10/31/78,217.1
07/31/78,183.3
04/30/78,183.4
01/31/78,165
10/31/77,155.5
07/31/77,142.6
04/30/77,148.3
01/31/77,134.5
10/31/76,116
07/31/76,122.9
04/30/76,129.2
01/31/76,140.3
10/31/75,143.5
07/31/75,166.5
04/30/75,177.3
01/31/75,183.9
10/31/74,151.8
07/31/74,154.1
04/30/74,168.4
01/31/74,106.7
10/31/73,103
07/31/73,120.1
04/30/73,84.4
01/31/73,63.9
10/31/72,65.5
07/31/72,62.1
04/30/72,48.3
01/31/72,43.5
10/31/71,42
07/31/71,40.1
04/30/71,38.9
01/31/71,37.4
10/31/70,36.2
07/31/70,35.4
04/30/70,35.1
01/31/70,35.2
