Date,Value
2/1/2004,30.86
1/1/2004,31.28
12/1/2003,29.81
11/1/2003,28.75
10/1/2003,29.61
9/1/2003,27.11
8/1/2003,29.89
7/1/2003,28.35
6/1/2003,27.65
5/1/2003,25.86
4/1/2003,25
3/1/2003,30.61
2/1/2003,32.77
1/1/2003,31.18
12/1/2002,28.33
11/1/2002,24.34
10/1/2002,27.54
9/1/2002,28.4
8/1/2002,26.65
7/1/2002,25.74
6/1/2002,24.08
5/1/2002,25.35
4/1/2002,25.73
3/1/2002,23.7
2/1/2002,20.28
1/1/2002,19.42
12/1/2001,18.71
11/1/2001,18.8
10/1/2001,20.54
9/1/2001,25.62
8/1/2001,25.68
7/1/2001,24.61
6/1/2001,27.85
5/1/2001,28.31
4/1/2001,25.66
3/1/2001,24.5
2/1/2001,27.5
1/1/2001,25.62
12/1/2000,25.66
11/1/2000,32.55
10/1/2000,30.96
9/1/2000,33.14
8/1/2000,30.2
7/1/2000,28.68
6/1/2000,29.8
5/1/2000,27.74
4/1/2000,22.76
3/1/2000,27.49
2/1/2000,27.78
1/1/2000,25.51
12/1/1999,25.47
11/1/1999,24.58
10/1/1999,22
9/1/1999,22.54
8/1/1999,20.22
7/1/1999,19.08
6/1/1999,15.86
5/1/1999,15.23
4/1/1999,15.29
3/1/1999,12.51
2/1/1999,10.27
1/1/1999,11.11
12/1/1998,9.82
11/1/1998,11.04
10/1/1998,12.7
9/1/1998,13.34
8/1/1998,11.91
7/1/1998,12.08
6/1/1998,12.21
5/1/1998,14.36
4/1/1998,13.53
3/1/1998,13.1
2/1/1998,14.07
1/1/1998,15.19
12/1/1997,17.18
11/1/1997,19.17
10/1/1997,19.87
9/1/1997,18.46
8/1/1997,18.6
7/1/1997,18.46
6/1/1997,17.58
5/1/1997,19.02
4/1/1997,17.56
3/1/1997,19.13
2/1/1997,20.85
1/1/1997,23.54
12/1/1996,23.78
11/1/1996,22.76
10/1/1996,24.16
9/1/1996,22.63
8/1/1996,20.51
7/1/1996,19.57
6/1/1996,18.46
5/1/1996,19.15
4/1/1996,20.9
3/1/1996,19.85
2/1/1996,18
1/1/1996,17.85
12/1/1995,17.93
11/1/1995,16.86
10/1/1995,16.11
9/1/1995,16.7
8/1/1995,16.1
7/1/1995,15.85
6/1/1995,17.31
5/1/1995,18.35
4/1/1995,18.65
3/1/1995,17.01
2/1/1995,17.11
1/1/1995,16.55
12/1/1994,15.93
11/1/1994,17.19
10/1/1994,16.49
9/1/1994,15.9
8/1/1994,16.89
7/1/1994,17.6
6/1/1994,16.76
5/1/1994,16.19
4/1/1994,15.23
3/1/1994,13.82
2/1/1994,13.8
1/1/1994,14.29
12/1/1993,13.73
11/1/1993,15.2
10/1/1993,16.61
9/1/1993,16.01
8/1/1993,16.7
7/1/1993,16.78
6/1/1993,17.65
5/1/1993,18.51
4/1/1993,18.67
3/1/1993,18.79
2/1/1993,18.47
1/1/1993,17.39
12/1/1992,18.14
11/1/1992,19.21
10/1/1992,20.26
9/1/1992,20.27
8/1/1992,19.74
7/1/1992,20.24
6/1/1992,21.16
5/1/1992,19.89
4/1/1992,18.92
3/1/1992,17.63
2/1/1992,18.05
1/1/1992,18.16
12/1/1991,18.41
11/1/1991,21.11
10/1/1991,22.21
9/1/1991,20.5
8/1/1991,19.77
7/1/1991,19.4
6/1/1991,18.17
5/1/1991,19.19
4/1/1991,19.18
3/1/1991,19.08
2/1/1991,19.54
1/1/1991,23.57
12/1/1990,28.27
11/1/1990,33.07
10/1/1990,36.02
9/1/1990,34.9
8/1/1990,27.17
7/1/1990,17.17
6/1/1990,15.1
5/1/1990,16.35
4/1/1990,16.61
3/1/1990,18.39
2/1/1990,19.81
1/1/1990,21.25
12/1/1989,19.84
11/1/1989,18.73
10/1/1989,18.91
9/1/1989,17.77
8/1/1989,16.77
7/1/1989,17.62
6/1/1989,17.67
5/1/1989,18.63
