Date,Value
01/01/88,17.13
12/01/87,17.28
11/01/87,18.85
10/01/87,19.86
09/01/87,19.53
08/01/87,20.31
07/01/87,21.34
06/01/87,20.07
05/01/87,19.44
04/01/87,18.68
03/01/87,18.3
02/01/87,17.75
01/01/87,18.65
12/01/86,16.11
11/01/86,15.22
10/01/86,14.9
09/01/86,14.87
08/01/86,15.1
07/01/86,11.59
06/01/86,13.43
05/01/86,15.38
04/01/86,12.84
03/01/86,12.61
02/01/86,15.46
01/01/86,22.93
